Drug1_ID,Drug2_ID,Y,Neg samples
DB00270,DB00278,1,DB01605$t
DB00224,DB00278,1,DB02709$h
DB00976,DB00278,1,DB00867$t
DB00367,DB00278,1,DB11586$h
DB00294,DB00278,1,DB01022$h
DB01232,DB00278,1,DB00480$t
DB00320,DB00278,1,DB01166$h
DB04575,DB00278,1,DB06802$t
DB09118,DB00278,1,DB00283$h
DB09063,DB00278,1,DB09101$h
DB08881,DB00278,1,DB00601$h
DB09053,DB00278,1,DB01004$t
DB06290,DB00278,1,DB00961$h
DB09048,DB00278,1,DB00894$t
DB00396,DB00278,1,DB00796$t
DB06717,DB00278,1,DB01090$h
DB06789,DB00278,1,DB11636$t
DB11636,DB00278,1,DB06694$h
DB00351,DB00278,1,DB00182$h
DB01431,DB00278,1,DB00211$h
DB00717,DB00278,1,DB00223$h
DB11619,DB00278,1,DB02546$t
DB09330,DB00278,1,DB00142$t
DB01600,DB00946,1,DB00142$h
DB00821,DB00946,1,DB04576$t
DB00908,DB00946,1,DB06144$t
DB00375,DB00946,1,DB01238$h
DB00415,DB00946,1,DB01083$h
DB00615,DB00946,1,DB06210$t
DB00252,DB00946,1,DB00809$t
DB01154,DB00946,1,DB00334$t
DB00564,DB00946,1,DB09218$t
DB00794,DB00946,1,DB09031$t
DB01174,DB00946,1,DB00298$h
DB00312,DB00946,1,DB00320$t
DB01220,DB00946,1,DB00553$h
DB00474,DB00946,1,DB03796$t
DB09280,DB00946,1,DB00405$t
DB00400,DB00946,1,DB00492$h
DB01355,DB00946,1,DB13783$h
DB01437,DB00946,1,DB00753$t
DB01601,DB00946,1,DB00576$t
DB00705,DB00946,1,DB01245$t
DB00686,DB00946,1,DB08967$t
DB01118,DB00946,1,DB01110$h
DB09283,DB00946,1,DB00796$h
DB00278,DB00946,1,DB00432$t
DB01024,DB00946,1,DB00417$h
DB00672,DB00946,1,DB01396$t
DB00671,DB00946,1,DB00467$t
DB00972,DB00946,1,DB00680$h
DB06736,DB00946,1,DB00336$t
DB00788,DB00946,1,DB05316$t
DB00814,DB00946,1,DB09223$t
DB00573,DB00946,1,DB09021$h
DB04951,DB00946,1,DB00393$h
DB00948,DB00946,1,DB03796$t
DB01112,DB00946,1,DB00736$t
DB01283,DB00946,1,DB08912$h
DB00744,DB00946,1,DB00334$h
DB04743,DB00946,1,DB00511$h
DB00963,DB00946,1,DB01094$t
DB05266,DB00946,1,DB01254$t
DB00254,DB00946,1,DB00548$h
DB01399,DB00946,1,DB00876$t
DB00870,DB00946,1,DB00859$h
DB01208,DB00946,1,DB04854$t
DB06209,DB00946,1,DB09555$h
DB00374,DB00946,1,DB00650$t
DB01207,DB00946,1,DB06637$h
DB06412,DB00946,1,DB01102$t
DB00923,DB00946,1,DB00613$t
DB08991,DB00946,1,DB00561$h
DB00578,DB00946,1,DB08882$h
DB01251,DB00946,1,DB08932$t
DB06737,DB00946,1,DB03793$t
DB00975,DB00946,1,DB12364$h
DB02709,DB00946,1,DB01007$t
DB00412,DB00946,1,DB05271$h
DB08954,DB00946,1,DB06771$h
DB09543,DB00946,1,DB00836$h
DB07615,DB00946,1,DB01189$h
DB00795,DB00946,1,DB09212$t
DB09167,DB00946,1,DB01433$h
DB06802,DB00946,1,DB00398$t
DB00321,DB00946,1,DB00703$t
DB06605,DB00946,1,DB00940$h
DB01039,DB00946,1,DB00820$t
DB01236,DB00946,1,DB09389$t
DB00328,DB00946,1,DB06771$h
DB00179,DB00946,1,DB08994$h
DB00945,DB00946,1,DB00578$t
DB09216,DB00946,1,DB01029$h
DB00261,DB00946,1,DB01074$h
DB00210,DB00946,1,DB09020$h
DB08795,DB00946,1,DB00968$h
DB00806,DB00946,1,DB09085$t
DB00689,DB00946,1,DB06144$t
DB09084,DB00946,1,DB11121$t
DB00661,DB00946,1,DB00204$t
DB00567,DB00946,1,DB06800$h
DB08797,DB00946,1,DB00865$t
DB01050,DB00946,1,DB00557$t
DB13167,DB00946,1,DB00402$t
DB01060,DB00946,1,DB00997$h
DB08860,DB00946,1,DB00663$h
DB00274,DB00946,1,DB01351$h
DB00235,DB00946,1,DB01142$h
DB00712,DB00946,1,DB08811$t
DB00465,DB00946,1,DB01349$t
DB00461,DB00946,1,DB01141$h
DB08816,DB00946,1,DB00494$t
DB09289,DB00946,1,DB06766$t
DB01628,DB00946,1,DB01466$t
DB08804,DB00946,1,DB06774$t
DB11362,DB00946,1,DB00262$t
DB00446,DB00946,1,DB01262$h
DB09324,DB00946,1,DB01595$t
DB00208,DB00946,1,DB08916$h
DB06441,DB00946,1,DB00711$h
DB01009,DB00946,1,DB00242$t
DB01000,DB00946,1,DB09345$t
DB09212,DB00946,1,DB01362$t
DB00554,DB00946,1,DB00378$h
DB00682,DB00946,1,DB09285$h
DB00936,DB00946,1,DB01113$h
DB00939,DB00946,1,DB00559$h
DB08880,DB00946,1,DB00502$t
DB01414,DB00946,1,DB00880$h
DB06718,DB00946,1,DB09117$h
DB01059,DB00946,1,DB00396$t
DB01088,DB00946,1,DB09236$h
DB00754,DB00946,1,DB01409$h
DB01175,DB00946,1,DB01033$h
DB00605,DB00946,1,DB06712$t
DB00343,DB00946,1,DB00758$h
DB00175,DB00946,1,DB01087$h
DB00770,DB00946,1,DB00847$h
DB08439,DB00946,1,DB01116$t
DB00602,DB00946,1,DB06704$h
DB00337,DB00946,1,DB01133$h
DB00735,DB00946,1,DB08822$h
DB11079,DB00946,1,DB00808$t
DB00476,DB00946,1,DB01173$h
DB00472,DB00946,1,DB09009$h
DB00608,DB00946,1,DB00450$h
DB00833,DB00946,1,DB06263$t
DB00827,DB00946,1,DB00170$h
DB01016,DB00946,1,DB00668$h
DB00316,DB00946,1,DB00556$h
DB00317,DB00946,1,DB01221$t
DB00222,DB00946,1,DB09076$t
DB00229,DB00946,1,DB01339$t
DB01606,DB00946,1,DB00570$h
DB08981,DB00946,1,DB00757$h
DB01181,DB00946,1,DB00499$h
DB01185,DB00946,1,DB09257$h
DB00583,DB00946,1,DB00503$h
DB00861,DB00946,1,DB01140$t
DB00543,DB00946,1,DB00499$t
DB00438,DB00946,1,DB01159$t
DB00437,DB00946,1,DB09093$t
DB00267,DB00946,1,DB09183$t
DB00621,DB00946,1,DB01366$h
DB00467,DB00946,1,DB08913$t
DB00468,DB00946,1,DB00976$t
DB01140,DB00946,1,DB01244$h
DB00487,DB00946,1,DB11256$h
DB01605,DB00946,1,DB01878$t
DB01604,DB00946,1,DB00842$h
DB01603,DB00946,1,DB00562$h
DB00359,DB00946,1,DB01256$t
DB01328,DB00946,1,DB04894$h
DB01327,DB00946,1,DB09117$h
DB01326,DB00946,1,DB01192$t
DB00227,DB00946,1,DB09040$t
DB00176,DB00946,1,DB00346$t
DB00641,DB00946,1,DB00686$t
DB01151,DB00946,1,DB01605$t
DB01331,DB00946,1,DB00823$t
DB01212,DB00946,1,DB00735$t
DB01242,DB00946,1,DB09120$h
DB01602,DB00946,1,DB00477$t
DB00456,DB00946,1,DB01581$h
DB00636,DB00946,1,DB00751$h
DB09008,DB00946,1,DB01053$h
DB04576,DB00946,1,DB00795$t
DB04574,DB00946,1,DB13139$h
DB00779,DB00946,1,DB00458$h
DB01044,DB00946,1,DB00445$t
DB01137,DB00946,1,DB01436$h
DB00501,DB00946,1,DB00996$h
DB00398,DB00946,1,DB00263$h
DB01124,DB00946,1,DB01091$h
DB00655,DB00946,1,DB00280$t
DB01241,DB00946,1,DB01422$t
DB00193,DB00946,1,DB01007$t
DB01061,DB00946,1,DB09166$t
DB08918,DB00946,1,DB00969$t
DB06700,DB00946,1,DB00035$h
DB04896,DB00946,1,DB00245$t
DB00203,DB00946,1,DB01075$h
DB00196,DB00946,1,DB00260$h
DB01319,DB00946,1,DB00884$t
DB00220,DB00946,1,DB06153$h
DB00823,DB00946,1,DB01610$h
DB00582,DB00946,1,DB06770$h
DB09123,DB00946,1,DB08896$t
DB09074,DB00946,1,DB00799$h
DB01026,DB00946,1,DB00401$h
DB00304,DB00946,1,DB01083$t
DB01211,DB00946,1,DB01150$h
DB06730,DB00946,1,DB00323$h
DB04855,DB00946,1,DB00435$h
DB05521,DB00946,1,DB00418$h
DB00625,DB00946,1,DB00472$t
DB00603,DB00946,1,DB00578$t
DB00188,DB00946,1,DB01408$t
DB00224,DB00946,1,DB06694$t
DB00976,DB00946,1,DB01764$t
DB00367,DB00946,1,DB06213$h
DB09054,DB00946,1,DB00561$t
DB06713,DB00946,1,DB00890$t
DB06636,DB00946,1,DB08874$t
DB06414,DB00946,1,DB00310$t
DB00448,DB00946,1,DB01156$h
DB00301,DB00946,1,DB04868$t
DB00957,DB00946,1,DB09118$t
DB00294,DB00946,1,DB08828$h
DB00736,DB00946,1,DB00259$h
DB00763,DB00946,1,DB00547$t
DB01129,DB00946,1,DB09041$t
DB08873,DB00946,1,DB00190$h
DB00255,DB00946,1,DB08994$h
DB08933,DB00946,1,DB00355$t
DB04868,DB00946,1,DB11641$h
DB00338,DB00946,1,DB09232$h
DB00169,DB00946,1,DB06589$h
DB09238,DB00946,1,DB09166$h
DB09389,DB00946,1,DB08811$t
DB09198,DB00946,1,DB09134$t
DB01147,DB00946,1,DB00872$t
DB00207,DB00946,1,DB00828$t
DB00485,DB00946,1,DB01582$h
DB00783,DB00946,1,DB00384$t
DB04573,DB00946,1,DB09030$h
DB04575,DB00946,1,DB00843$t
DB00389,DB00946,1,DB00780$t
DB00993,DB00946,1,DB00572$t
DB01196,DB00946,1,DB00244$h
DB00977,DB00946,1,DB00400$t
DB01022,DB00946,1,DB00256$h
DB00890,DB00946,1,DB00380$h
DB01127,DB00946,1,DB01601$t
DB01563,DB00946,1,DB00423$t
DB00313,DB00946,1,DB00992$t
DB00898,DB00946,1,DB01324$h
DB09118,DB00946,1,DB00642$t
DB00916,DB00946,1,DB09099$t
DB00440,DB00946,1,DB00745$t
DB01182,DB00946,1,DB09096$h
DB09063,DB00946,1,DB06243$t
DB00177,DB00946,1,DB00627$h
DB00678,DB00946,1,DB01128$t
DB08881,DB00946,1,DB01511$t
DB00544,DB00946,1,DB09031$t
DB09053,DB00946,1,DB01213$h
DB00322,DB00946,1,DB09290$t
DB06701,DB00946,1,DB00931$h
DB05219,DB00946,1,DB01364$h
DB01685,DB00946,1,DB00980$h
DB00822,DB00946,1,DB09323$h
DB09211,DB00946,1,DB01580$h
DB08820,DB00946,1,DB00396$h
DB09048,DB00946,1,DB08824$t
DB06717,DB00946,1,DB01325$h
DB06789,DB00946,1,DB00424$t
DB11636,DB00946,1,DB01119$h
DB00351,DB00946,1,DB00490$t
DB01431,DB00946,1,DB09099$h
DB11619,DB00946,1,DB09039$h
DB09124,DB00946,1,DB08872$h
DB09256,DB00946,1,DB00986$h
DB01609,DB00946,1,DB01619$h
DB01600,DB00686,1,DB00178$h
DB00821,DB00686,1,DB09227$h
DB00233,DB00686,1,DB01100$t
DB01024,DB00686,1,DB00465$t
DB06736,DB00686,1,DB01229$h
DB06739,DB00686,1,DB00924$h
DB09218,DB00686,1,DB00438$t
DB00788,DB00686,1,DB00276$h
DB05676,DB00686,1,DB06781$h
DB00573,DB00686,1,DB00294$t
DB04951,DB00686,1,DB01181$h
DB01283,DB00686,1,DB09038$t
DB00744,DB00686,1,DB00832$h
DB01399,DB00686,1,DB01601$t
DB01435,DB00686,1,DB00736$h
DB00374,DB00686,1,DB01189$h
DB00784,DB00686,1,DB00683$t
DB01254,DB00686,1,DB05990$t
DB08991,DB00686,1,DB06603$h
DB01250,DB00686,1,DB01421$h
DB06737,DB00686,1,DB01606$h
DB08976,DB00686,1,DB00217$h
DB00412,DB00686,1,DB01248$h
DB09543,DB00686,1,DB12924$h
DB00469,DB00686,1,DB08796$h
DB00328,DB00686,1,DB01435$t
DB09216,DB00686,1,DB04743$t
DB00210,DB00686,1,DB08872$t
DB06206,DB00686,1,DB00369$h
DB00932,DB00686,1,DB00809$h
DB08797,DB00686,1,DB03796$t
DB01050,DB00686,1,DB01224$h
DB01014,DB00686,1,DB08865$t
DB00461,DB00686,1,DB01243$h
DB01628,DB00686,1,DB00623$t
DB11362,DB00686,1,DB02513$h
DB01009,DB00686,1,DB08873$t
DB09212,DB00686,1,DB00773$t
DB00554,DB00686,1,DB00890$t
DB00939,DB00686,1,DB00991$t
DB00244,DB00686,1,DB01105$h
DB00482,DB00686,1,DB00651$t
DB08439,DB00686,1,DB00486$t
DB08984,DB00686,1,DB00985$h
DB03585,DB00686,1,DB00198$h
DB00337,DB00686,1,DB00966$h
DB00608,DB00686,1,DB06766$t
DB09070,DB00686,1,DB00945$t
DB08981,DB00686,1,DB00939$t
DB00163,DB00686,1,DB06412$h
DB00861,DB00686,1,DB01330$h
DB00991,DB00686,1,DB00324$t
DB06730,DB00686,1,DB00035$t
DB00367,DB00686,1,DB01613$h
DB00294,DB00686,1,DB00187$h
DB00783,DB00686,1,DB00980$t
DB04573,DB00686,1,DB00228$t
DB04575,DB00686,1,DB00753$h
DB00977,DB00686,1,DB00537$t
DB09053,DB00686,1,DB01196$h
DB09211,DB00686,1,DB01008$h
DB00351,DB00686,1,DB01250$t
DB01431,DB00686,1,DB09297$t
DB00378,DB00686,1,DB00821$t
DB00564,DB12598,1,DB00674$t
DB00688,DB12598,1,DB00245$t
DB01024,DB12598,1,DB00572$h
DB00972,DB12598,1,DB00363$t
DB06736,DB12598,1,DB11619$t
DB06739,DB12598,1,DB09289$t
DB00812,DB12598,1,DB00977$h
DB09218,DB12598,1,DB00630$h
DB00788,DB12598,1,DB01037$t
DB00814,DB12598,1,DB01438$t
DB04951,DB12598,1,DB11596$t
DB01283,DB12598,1,DB00925$h
DB09030,DB12598,1,DB00014$t
DB00963,DB12598,1,DB00344$h
DB05266,DB12598,1,DB00378$t
DB01399,DB12598,1,DB11989$t
DB00870,DB12598,1,DB00392$t
DB06209,DB12598,1,DB09128$t
DB01207,DB12598,1,DB01233$h
DB00784,DB12598,1,DB04930$t
DB06737,DB12598,1,DB01254$t
DB04552,DB12598,1,DB00946$h
DB08994,DB12598,1,DB00918$t
DB08954,DB12598,1,DB06414$h
DB09543,DB12598,1,DB09071$h
DB00795,DB12598,1,DB01045$h
DB06605,DB12598,1,DB01267$h
DB00328,DB12598,1,DB00371$h
DB00179,DB12598,1,DB01291$t
DB09215,DB12598,1,DB00437$h
DB01166,DB12598,1,DB04871$h
DB00210,DB12598,1,DB00318$t
DB09084,DB12598,1,DB00954$h
DB06206,DB12598,1,DB00242$t
DB08797,DB12598,1,DB09047$t
DB13167,DB12598,1,DB02546$t
DB00235,DB12598,1,DB06210$h
DB00712,DB12598,1,DB01319$t
DB00461,DB12598,1,DB00650$t
DB08816,DB12598,1,DB00495$t
DB09288,DB12598,1,DB06263$h
DB01628,DB12598,1,DB01262$h
DB11362,DB12598,1,DB00842$t
DB00208,DB12598,1,DB00195$t
DB06441,DB12598,1,DB01412$t
DB00936,DB12598,1,DB00753$t
DB00482,DB12598,1,DB01620$h
DB08439,DB12598,1,DB00468$t
DB03585,DB12598,1,DB08930$t
DB00735,DB12598,1,DB00608$h
DB11079,DB12598,1,DB04865$t
DB00500,DB12598,1,DB00413$h
DB00861,DB12598,1,DB01219$h
DB00655,DB12598,1,DB00298$t
DB00304,DB12598,1,DB00869$h
DB00603,DB12598,1,DB00248$t
DB00367,DB12598,1,DB01204$h
DB01156,DB12598,1,DB01601$t
DB08873,DB12598,1,DB01400$h
DB04573,DB12598,1,DB00832$t
DB04575,DB12598,1,DB06636$h
DB09292,DB12598,1,DB01077$h
DB00966,DB12598,1,DB00457$h
DB00796,DB12598,1,DB00471$h
DB00275,DB12598,1,DB00369$t
DB09477,DB12598,1,DB03756$h
DB00519,DB12598,1,DB00801$h
DB00678,DB12598,1,DB00553$t
DB00542,DB12598,1,DB12026$h
DB00881,DB12598,1,DB09215$t
DB01656,DB12598,1,DB09291$t
DB09053,DB12598,1,DB06702$t
DB01349,DB12598,1,DB09270$h
DB09295,DB12598,1,DB09499$t
DB09211,DB12598,1,DB00176$t
DB09285,DB12598,1,DB01118$t
DB06789,DB12598,1,DB00436$t
DB11636,DB12598,1,DB00631$t
DB00351,DB12598,1,DB01103$t
DB00717,DB12598,1,DB00935$h
DB11619,DB12598,1,DB01607$h
DB00378,DB12598,1,DB08934$h
DB09124,DB12598,1,DB01586$t
DB01600,DB06228,1,DB00582$t
DB00821,DB06228,1,DB00391$h
DB00252,DB06228,1,DB00909$h
DB01045,DB06228,1,DB00357$t
DB00564,DB06228,1,DB03793$h
DB00794,DB06228,1,DB01044$h
DB01174,DB06228,1,DB01186$h
DB00312,DB06228,1,DB01336$t
DB00238,DB06228,1,DB00314$h
DB00673,DB06228,1,DB04272$t
DB09283,DB06228,1,DB00955$t
DB00688,DB06228,1,DB01043$t
DB00233,DB06228,1,DB06717$t
DB01024,DB06228,1,DB00661$h
DB00972,DB06228,1,DB00774$h
DB06736,DB06228,1,DB00595$h
DB05676,DB06228,1,DB00951$t
DB00573,DB06228,1,DB00637$h
DB04951,DB06228,1,DB01200$h
DB00749,DB06228,1,DB00734$h
DB01283,DB06228,1,DB00448$t
DB09030,DB06228,1,DB09018$t
DB00744,DB06228,1,DB08974$h
DB04743,DB06228,1,DB01591$h
DB00963,DB06228,1,DB08993$h
DB00254,DB06228,1,DB00741$h
DB01435,DB06228,1,DB09039$t
DB00870,DB06228,1,DB05271$h
DB06209,DB06228,1,DB00760$t
DB00374,DB06228,1,DB01410$h
DB01207,DB06228,1,DB06690$h
DB00784,DB06228,1,DB00270$t
DB01254,DB06228,1,DB01433$t
DB08976,DB06228,1,DB00714$h
DB04552,DB06228,1,DB01162$t
DB08994,DB06228,1,DB00331$h
DB08954,DB06228,1,DB00418$t
DB07615,DB06228,1,DB00250$h
DB00795,DB06228,1,DB00914$t
DB06802,DB06228,1,DB01437$h
DB00469,DB06228,1,DB06716$h
DB06605,DB06228,1,DB01160$h
DB08814,DB06228,1,DB01320$h
DB00328,DB06228,1,DB01559$t
DB09215,DB06228,1,DB01336$t
DB00261,DB06228,1,DB01295$t
DB01166,DB06228,1,DB01181$h
DB00768,DB06228,1,DB00190$t
DB00806,DB06228,1,DB05541$t
DB09084,DB06228,1,DB00542$t
DB06206,DB06228,1,DB00275$h
DB08797,DB06228,1,DB00433$t
DB00586,DB06228,1,DB01599$t
DB12598,DB06228,1,DB01046$t
DB09075,DB06228,1,DB00819$t
DB01014,DB06228,1,DB00511$h
DB00235,DB06228,1,DB01180$t
DB00712,DB06228,1,DB09555$h
DB08816,DB06228,1,DB00355$t
DB00751,DB06228,1,DB00940$h
DB11362,DB06228,1,DB00614$h
DB06441,DB06228,1,DB09256$t
DB01009,DB06228,1,DB01251$h
DB00682,DB06228,1,DB00514$t
DB00936,DB06228,1,DB01226$t
DB00939,DB06228,1,DB08994$t
DB00244,DB06228,1,DB08893$h
DB01088,DB06228,1,DB01878$h
DB00605,DB06228,1,DB01336$h
DB00770,DB06228,1,DB00727$h
DB08439,DB06228,1,DB02638$t
DB08984,DB06228,1,DB01239$h
DB03585,DB06228,1,DB06616$h
DB11079,DB06228,1,DB00454$t
DB00608,DB06228,1,DB01002$h
DB06725,DB06228,1,DB01064$t
DB06154,DB06228,1,DB06770$h
DB08981,DB06228,1,DB00599$t
DB00163,DB06228,1,DB00592$h
DB00991,DB06228,1,DB01081$h
DB00176,DB06228,1,DB00755$h
DB11268,DB06228,1,DB00548$t
DB00619,DB06228,1,DB08867$h
DB00263,DB06228,1,DB00468$h
DB00834,DB06228,1,DB00585$t
DB01263,DB06228,1,DB00402$h
DB01319,DB06228,1,DB00805$t
DB00648,DB06228,1,DB01395$t
DB09123,DB06228,1,DB00615$t
DB01167,DB06228,1,DB00773$h
DB09074,DB06228,1,DB08987$t
DB00304,DB06228,1,DB01103$t
DB06730,DB06228,1,DB00393$h
DB00246,DB06228,1,DB00695$t
DB05521,DB06228,1,DB00687$t
DB00603,DB06228,1,DB00951$h
DB00289,DB06228,1,DB01599$h
DB01264,DB06228,1,DB01094$h
DB00270,DB06228,1,DB06595$h
DB00224,DB06228,1,DB08806$t
DB00976,DB06228,1,DB06261$h
DB00367,DB06228,1,DB00598$t
DB06636,DB06228,1,DB01220$t
DB00283,DB06228,1,DB00402$t
DB00294,DB06228,1,DB01096$h
DB08873,DB06228,1,DB01403$h
DB08933,DB06228,1,DB00354$h
DB04868,DB06228,1,DB11586$t
DB00320,DB06228,1,DB00216$h
DB04573,DB06228,1,DB01288$t
DB04575,DB06228,1,DB01114$h
DB11730,DB06228,1,DB08802$t
DB09073,DB06228,1,DB01232$t
DB02703,DB06228,1,DB00912$t
DB09048,DB06228,1,DB00959$t
DB00396,DB06228,1,DB09288$t
DB12364,DB06228,1,DB00222$t
DB06789,DB06228,1,DB00855$h
DB11636,DB06228,1,DB06288$h
DB00351,DB06228,1,DB06791$t
DB01431,DB06228,1,DB00476$h
DB00717,DB06228,1,DB00378$t
DB11619,DB06228,1,DB06684$t
DB09124,DB06228,1,DB09034$h
DB09330,DB06228,1,DB01337$t
DB12267,DB06228,1,DB00531$h
DB01600,DB00974,1,DB09093$h
DB00821,DB00974,1,DB00933$t
DB00686,DB00974,1,DB01581$t
DB09283,DB00974,1,DB00489$t
DB00233,DB00974,1,DB01261$h
DB01024,DB00974,1,DB01092$h
DB00972,DB00974,1,DB00521$t
DB06736,DB00974,1,DB00230$t
DB09218,DB00974,1,DB01339$h
DB05676,DB00974,1,DB06803$t
DB00573,DB00974,1,DB09055$t
DB00744,DB00974,1,DB01220$t
DB05266,DB00974,1,DB04398$h
DB01435,DB00974,1,DB01219$h
DB00870,DB00974,1,DB01096$h
DB06209,DB00974,1,DB00805$t
DB00374,DB00974,1,DB06218$t
DB01207,DB00974,1,DB08909$t
DB01254,DB00974,1,DB00388$h
DB08991,DB00974,1,DB09073$t
DB06737,DB00974,1,DB00948$t
DB08976,DB00974,1,DB00859$h
DB00975,DB00974,1,DB01065$t
DB04552,DB00974,1,DB00371$t
DB00412,DB00974,1,DB01418$h
DB09543,DB00974,1,DB00872$t
DB00795,DB00974,1,DB00614$t
DB01097,DB00974,1,DB01253$t
DB06605,DB00974,1,DB00511$t
DB00328,DB00974,1,DB01380$t
DB00946,DB00974,1,DB00425$t
DB09216,DB00974,1,DB05266$t
DB09215,DB00974,1,DB00640$h
DB01166,DB00974,1,DB00251$h
DB09084,DB00974,1,DB00875$h
DB06206,DB00974,1,DB00547$h
DB00932,DB00974,1,DB04948$t
DB01050,DB00974,1,DB00943$t
DB13167,DB00974,1,DB00497$h
DB12598,DB00974,1,DB05351$h
DB09075,DB00974,1,DB00393$h
DB00235,DB00974,1,DB01558$h
DB00465,DB00974,1,DB09274$h
DB00461,DB00974,1,DB00609$h
DB08816,DB00974,1,DB11256$t
DB09288,DB00974,1,DB08797$h
DB01628,DB00974,1,DB01624$h
DB00751,DB00974,1,DB00854$h
DB11362,DB00974,1,DB00695$t
DB06441,DB00974,1,DB08881$t
DB09212,DB00974,1,DB01029$h
DB00554,DB00974,1,DB00283$h
DB00939,DB00974,1,DB00376$h
DB06695,DB00974,1,DB08910$h
DB01088,DB00974,1,DB01211$h
DB00758,DB00974,1,DB01099$h
DB00605,DB00974,1,DB00134$h
DB00770,DB00974,1,DB01415$h
DB08439,DB00974,1,DB00611$t
DB03585,DB00974,1,DB06698$h
DB00337,DB00974,1,DB00353$h
DB11079,DB00974,1,DB00140$h
DB00608,DB00974,1,DB00134$h
DB06725,DB00974,1,DB00457$h
DB09070,DB00974,1,DB02701$h
DB08981,DB00974,1,DB01073$h
DB00861,DB00974,1,DB00711$h
DB00266,DB00974,1,DB00691$h
DB00991,DB00974,1,DB00699$h
DB01240,DB00974,1,DB00699$t
DB00655,DB00974,1,DB00793$t
DB09123,DB00974,1,DB00677$t
DB00304,DB00974,1,DB01433$t
DB06730,DB00974,1,DB00973$h
DB00603,DB00974,1,DB01178$t
DB00367,DB00974,1,DB09273$h
DB00294,DB00974,1,DB00440$t
DB00783,DB00974,1,DB01202$h
