0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
DB01061,"[-1.608238019126271, 0.7964777362623371, -1.4506197425468257]","[-1.6911144407739778, 0.3186351086233524, -0.07532879175887235]","[-2.929913184706356, 0.04020599145045398, 0.5819904453190731]","[-4.021352692500133, 0.21748559702484999, -0.02416945633045546]","[-2.923500089671529, -0.4368303312483925, 1.9324853160014237]","[-1.7298889950918597, -0.6579588543158905, 2.732190467644482]","[-2.2352593101100933, -1.16383135217787, 4.099372357083388]","[-3.6919011742778376, -1.2069348537024835, 4.018457031415185]","[-4.0424788554539965, -0.7701985945351756, 2.725428583537057]","[-5.234823390040507, -0.6901010351444256, 2.32832951535777]","[-0.2405431253070669, 1.3328174474315004, -1.7186018729910784]","[-0.1042077399445341, 2.533039609083795, -2.0757972261556445]","[0.903787134488702, 0.4934352553050926, -1.5454542609072088]","[2.267978252166041, 1.0036259744160707, -1.6141584704256462]","[3.22690461840434, -0.1410517096721225, -1.5578876319247692]","[3.5112510726670263, -1.102363606764494, -2.3187448572174727]","[3.6331484766114763, 0.2707749401057705, -0.19725222977076898]","[3.7795058614417893, -0.45724603257537266, 1.0354010667729647]","[4.983238619282196, 0.05413280727188924, 1.7752302417942378]","[5.938852804744904, -0.8437125567329464, 2.2303175001213122]","[5.1276500797317555, 1.2858892275791731, 1.9979584787937068]","[2.437289700327502, -0.22641019641780763, 1.763504359702654]","[2.5593117079449663, -0.1632655456605733, 3.279787186062274]","[1.5099817636677948, -1.3763671862329783, 1.4213412112975434]","[1.6712139457911623, 1.332644411560752, 1.1332511538652243]","[2.7862786928140824, 1.4171610618098267, -0.3256528522170703]","[-1.9710205539738048, -0.2841113536424652, -2.426103810872092]","[-1.4017147064342816, -1.5644164367078508, -2.3396914203631614]","[-1.7469804367827282, -2.550876681611664, -3.2677167907181244]","[-2.6589794234397344, -2.262504637903378, -4.287015830972418]","[-3.2246753057111945, -0.9874506421297184, -4.37934445033985]","[-2.879801286738287, -6.437582188813221e-05, -3.4515052192574545]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB08918,"[1.9525958287288219, -0.003381873507125108, 3.014863988942979]","[1.5433571756895776, -0.8933297775474608, 1.8554637475111129]","[2.0051451226845436, -0.3236858679117174, 0.5960354549107736]","[3.413519794579494, -0.48360322289083546, 0.2525097644201526]","[3.5659099065033915, -1.460729796686674, -0.8988758551284463]","[1.127223507982483, 0.4429508281061338, -0.251945538494024]","[1.5750766893284653, 0.9518585319837304, -1.3157108691901138]","[-0.3460140492085366, 0.5795732459288512, 0.048981038487125594]","[-0.708439459528424, 1.2378359388825435, 1.3677429479394263]","[-0.9881487889998469, 1.9714135948456062, 0.06646819737055265]","[-0.00040351344004585944, 3.1207278147552047, -0.06571627385706949]","[-0.6854342449493783, 4.378627558320367, 0.16797763576765706]","[-1.2577038931379716, -0.5279189213666658, -0.3809068703677158]","[-1.5108008097306702, -1.6117730646964155, 0.47182330762551533]","[-2.3328909086115357, -2.6610960902876672, 0.05101958016917611]","[-2.8981797138128678, -2.6367624679637145, -1.2271264415482313]","[-2.6384624237787357, -1.5652215939586478, -2.086349689386275]","[-1.816350220298937, -0.5154848360054111, -1.666254125172915]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB06700,"[1.8973335768199195, 2.873774191052602, -0.8875089421274328]","[0.5445806805554168, 2.6012408242942477, -0.43419152982500514]","[-0.03513142219541889, 3.880484995846245, -0.06979968276269262]","[0.6542048135127833, 1.829478648010607, 0.7932850264766683]","[0.5535118184940202, 0.33172265496897213, 0.4921430900272904]","[-0.8372036396396489, -0.04141390481214663, 0.05326481560966409]","[-1.9476413140911, 0.1732955438083499, 0.8842279917875044]","[-3.22788764084338, -0.18435029224129532, 0.4521776208645233]","[-3.404439305820723, -0.7575495455686212, -0.8103914273106712]","[-4.675718287090722, -1.1127577892232479, -1.239396296869694]","[-2.301041385333671, -0.9731323947650266, -1.6411128465541267]","[-1.0202685857205471, -0.6156512509417751, -1.209725051675972]","[1.09853503814327, -0.5419300180495921, 1.6479024387287546]","[0.3598322512195473, -0.29640891591043583, 2.8074118298746003]","[0.9637631203168037, -2.0411696449625976, 1.298630959711023]","[2.250130214247623, -2.6989906294900132, 0.784587865434789]","[3.053029252058388, -1.7237168243915848, -0.06540279392053078]","[3.505924182110888, -0.5142092916039104, 0.759067003852326]","[2.5684866332568888, -0.18871635602025782, 1.933160752148911]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB04896,"[-2.8217787562235728, -1.9015518791794235, 2.2530185177500894]","[-3.1352789622920016, -1.1177382197729384, 0.9917057276915796]","[-1.903465932346418, -0.7642800535292823, 0.2982472346182767]","[-1.6366738682705388, -1.4211562218724827, -0.9741635184439171]","[-0.6341328064351275, -2.542627047953843, -0.7798848072069136]","[-1.0740142261983148, 0.3099924036997922, 0.7818057689005594]","[-1.2935570927708433, 0.8061706368331161, 1.920901456282441]","[0.07788157012144671, 0.8433228479417616, -0.036209235854444834]","[0.20262043401803173, 2.3563254182226094, 0.000366832489622876]","[-0.18222075889765615, 1.670640469405475, -1.2991900211110206]","[-1.658037046441002, 1.9163586053031143, -1.5722012296145622]","[-1.7987120204990814, 2.8442260171160973, -2.6791075945712137]","[1.407380982899448, 0.15852345910304574, 0.07079390510304258]","[2.0939218286979018, 0.1464732647268187, 1.2932954555052187]","[3.3252721519782846, -0.5060608377995579, 1.4031180141255641]","[3.8750982691112514, -1.1530677230069057, 0.29285865243901926]","[3.1934857849951137, -1.1489503080093724, -0.9273331237113217]","[1.962210448553412, -0.49660083122914045, -1.0380220343921245]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00203,"[0.8392464123799999, 1.749455569758226, 4.977442943873848]","[-0.21850219893088493, 0.8286178542586436, 4.40565788894196]","[-1.3370928499617456, 1.6547739695531896, 3.8045145818731956]","[-2.374771192712987, 0.7570114868737623, 3.2252495560868506]","[-3.458494417637844, 0.29461621088166584, 3.8998514183647224]","[-4.1251483783455285, -0.5213220457461059, 3.086950718980775]","[-5.346635710849014, -1.2140565663072542, 3.4602562186473933]","[-3.473232160860518, -0.5919157748761262, 1.9098709008959494]","[-2.3735804136606475, 0.1939866583305067, 1.969739383062449]","[-1.498114872346999, 0.3107768870619961, 0.9438192254069488]","[-1.7453128014634016, -0.394187265484424, -0.20700116217481185]","[-2.8607392513307324, -1.1960214117948318, -0.2858433270334398]","[-3.7393465925187854, -1.3155261094382014, 0.7536813875117074]","[-4.749397914433947, -2.060424113360266, 0.6559176491693998]","[-0.7991823433705768, -0.28853393037885444, -1.3475978084988292]","[-0.9817863391688266, -0.9875372942832297, -2.5660413849541515]","[-2.092904072820586, -1.8202715799932723, -2.747462377862789]","[-2.332777175676423, -2.541712475102093, -3.9479324199554595]","[-3.610585331485415, -3.3415634237358605, -3.806424241131363]","[-0.03570319630264948, -0.837982623403407, -3.5948227740370986]","[1.074770917903066, -0.010962429574493587, -3.4297437591641087]","[1.2563331388468062, 0.6810234194666521, -2.2327493326157684]","[0.3257271286825503, 0.5390157649141495, -1.202631829379428]","[2.6529433553763737, 1.7208160445619318, -2.0081834291256984]","[2.1781723217538618, 3.109222754661333, -1.6809990260817738]","[3.4593552780449297, 1.7682461206358542, -3.2781655419034434]","[3.630272433564767, 1.1125203578707232, -0.7101327398414539]","[4.1076622785236765, -0.22041231046757787, -1.0974049792008802]","[5.238876161305671, -0.7113998734484499, -0.18196205452744707]","[5.377377988442042, 0.15529253510710983, 0.9869886018237678]","[6.512491198785318, -0.33954673355658727, 1.744383880938819]","[5.722689198223664, 1.5087456338907257, 0.5418899633629821]","[4.777389402081994, 2.0092546929514485, -0.5591676872680365]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00823,"[-1.4416743112649437, 0.7375466633523908, 1.2971843564517536]","[-2.0531886543120215, 0.6900192292560904, 2.6790194747657208]","[-3.5354651489195126, 0.42137325272885795, 2.4107964076730157]","[-3.680739014157723, 0.032390262916418174, 0.9313076397246725]","[-4.5429482796399325, -1.1097871782966255, 0.839123698901595]","[-4.952456653901917, -1.7142844643358246, -0.3570528650100113]","[-5.819636283515148, -2.9191978512775405, -0.3023015565792884]","[-4.605025810333689, -1.253183392077418, -1.476409254652297]","[-4.279937265569355, 1.186100115667796, 0.22523557647129938]","[-4.768477980669084, 2.126412038956402, -0.3506307410739371]","[-2.230861304303233, -0.2649481863402899, 0.4770478430534904]","[-1.8453454268141394, -1.7082941557216726, 0.8475663495013025]","[-1.9073685505994746, -0.02045187480165038, -1.0040994717258214]","[-0.39551862177275565, -0.16076271890354893, -1.2545992553675391]","[0.4243958604726195, 0.7679174703165962, -0.3399166964588707]","[1.9252107269974041, 0.5549252795870964, -0.5463116535605937]","[2.3544483754620735, 0.9120024268630518, -1.9746769442673038]","[3.8828889645402, 0.8405225087299494, -2.1774035026145544]","[4.711452492442126, 0.7690131135671505, -0.8758933072426656]","[4.892894915073046, -0.5888761819614852, -0.4879198698635792]","[5.782591486124015, -1.443011650432991, -1.1425484108585824]","[5.896801569353452, -2.85716102663709, -0.7013499251218412]","[6.492661145235401, -1.0304590767514814, -2.098412574130186]","[4.039276296561138, 1.520781925056747, 0.24127859864742346]","[2.7215082439004834, 1.3890979901771603, 0.42978906552193974]","[2.0285669429044964, 2.2241602216580114, 1.465456373592926]","[0.8392393614978905, 1.4903602508081009, 2.0973180332686785]","[0.06670692520823886, 0.5533523333646204, 1.1484026109530547]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB09074,"[-5.192658885799013, 1.097924073230188, -2.8024302243567187]","[-4.279068086482623, 1.2394202726380956, -1.7636984543549499]","[-2.949371812664287, 1.1415154464213397, -2.0214951448950633]","[-2.0367800351012892, 1.269527981168572, -1.0565825168821674]","[-2.386865025432705, 1.5093457369461873, 0.23525715707324066]","[-1.3107369105070508, 1.6097757212628439, 1.2721279956536753]","[-0.9098110286393856, 0.2526945597238302, 1.7429035056241418]","[0.07682813527599666, -0.46161516057669, 1.0577268095708512]","[0.45272052842033067, -1.748185173371871, 1.4723176299243745]","[1.485850887293923, -2.4941281283036365, 0.7110087351061081]","[1.4801921103915239, -3.7555247763980075, 0.7387375518699011]","[2.474746340308677, -1.8139736050119546, -0.08246637273234042]","[2.9891176741279373, -0.5074559406100169, 0.32652546621876405]","[3.2192349858970886, 0.365529770629905, -0.9021918670954084]","[3.979004459653322, -0.38262012161580594, -1.9017089989914033]","[3.4719962174676335, -1.6899179390358356, -2.312150065570468]","[3.2381454175740445, -2.560620073238656, -1.0813261595615857]","[5.071192208438385, 0.22576469729840193, -2.6098245956421975]","[5.56552553499395, -0.3523961870412531, -3.6167618879786176]","[5.611782344165871, 1.5628863510809983, -2.1927003101017064]","[6.322843127723586, 1.4325119886470024, -0.8570412981147374]","[7.129568730449681, 1.5278172882294567, -2.130919018710933]","[-0.19704132031836152, -2.320591769544092, 2.586127833097708]","[0.1329015048572515, -3.5590259593713385, 3.0305834640926665]","[-1.1876539327135864, -1.6051147111443298, 3.2662391608501276]","[-1.5453794082368626, -0.3230588219548064, 2.845442362506475]","[-3.746778155360493, 1.618457977916475, 0.5674370420766248]","[-4.1677606012597685, 1.862107715052652, 1.884014153408388]","[-5.529272210814592, 1.9656247437497105, 2.181056711271918]","[-6.480148931906182, 1.827389808092105, 1.1665005901591166]","[-6.072763908473849, 1.585426759562864, -0.14827698834909592]","[-4.709559964505254, 1.4805074403653842, -0.4552686541144446]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01211,"[-0.1522932140760195, 1.832985088939072, -0.054696355042531175]","[-0.7984517100345194, 3.2143834167428857, 0.15629738223417625]","[-0.5838539108956501, 4.160657523641255, -1.041963786627221]","[-1.344831117449562, 3.647855867593961, -2.2694493494486805]","[-0.9845247779796067, 5.487493933622681, -0.7353438932536126]","[-2.3444636105266716, 5.5161877864447435, -0.3686981304907314]","[0.9178080957846049, 4.170820418738856, -1.3990646324127625]","[1.6041390697772662, 5.11669589320949, -0.6336164343840924]","[1.5882323249273822, 2.8024805935575743, -1.202560295628948]","[2.606596951541491, 2.585758315442091, -2.303469765699344]","[0.6489426312881527, 1.7538306903201792, -1.220968965377755]","[0.5644803059851241, 1.4412129644358898, 1.084895701225062]","[0.09874038346487317, 0.15164071792145606, 1.384526370775825]","[1.2028576403339806, -0.9059939166293118, 1.2635131847510164]","[2.4486143879597293, -0.49704023026270927, 2.044203649165716]","[1.484431229783384, -1.1957667856108454, -0.22808858510308191]","[2.8184164825455817, -1.5770038883826951, -0.4473967476747063]","[3.4149548425480227, -0.48667671334568546, -1.0941185241809446]","[3.60266180908404, -0.7358608284112133, -2.478974024299122]","[4.502146030809952, -1.811434896938948, -2.7208814633580456]","[3.778066761439343, -3.140655266916598, -2.8139136953072694]","[5.702389763671657, -1.8969597490569157, -1.7731749920423752]","[5.953026901306293, -0.5321961489421072, -1.1246168286645886]","[4.7055628367155355, -0.062089978166818514, -0.3789360668278861]","[4.735765238630081, 1.3279538488183031, -0.24282318779041343]","[7.132583980988718, -0.4948426316837213, -0.2474174081547502]","[8.32732665242728, -0.616698727192839, -1.0683915681751028]","[7.128593524106297, -1.604016171424155, 0.7008366642780196]","[0.5165647313510872, -2.251023054194662, -0.84102599013555]","[0.8614790949827487, -3.6064693932488803, -0.2333434681369014]","[-0.957088911945797, -1.9409497229657846, -0.4795592074699325]","[-2.013509335417843, -2.627641341029362, -1.349671199477969]","[-1.9650682490116806, -4.144378296232367, -1.2423808903717495]","[-3.387800531190653, -2.121949988262865, -1.0119326885690902]","[-4.129385959353443, -1.8104088777203817, -1.9314496843505242]","[-3.8751187735309696, -2.057685679097463, 0.42225517320857625]","[-4.023472609096783, -3.4613627501538566, 0.9920516655625499]","[-5.174386505688692, -1.238384512899161, 0.5708728027294595]","[-6.270811189188689, -1.9491286221886666, 0.07150198976069119]","[-5.471165974038357, -0.6758127025755579, 1.9804816787855506]","[-5.5067700041891765, -1.7878911047470054, 3.023221568367992]","[-6.736758430478699, -0.08286596915613553, 1.9444210505366128]","[-4.440224348482488, 0.4097385045162733, 2.3604424902937344]","[-4.871830730293757, 1.275977528167803, 3.555208300071045]","[-4.69867958098306, 0.5622319007433507, 4.88477470571232]","[-3.1244993561631853, -0.11841065228000046, 2.5395651302672038]","[-1.9957357179866326, 0.704413606705892, 2.619202851440963]","[-2.1121433288035947, 1.960917736137853, 2.5683267692844294]","[-0.6409305969791022, 0.08407975111597167, 2.726296579829283]","[0.14957585782190774, 0.7039255218027904, 3.8694582342349824]","[0.7035232822384152, -2.3540588514507834, -2.244042732163953]","[0.40631766226953897, -1.1255841574496763, -2.8642841553119203]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB05521,"[0.0923125256456463, -2.127221759477368, 1.7148827990674387]","[0.30175644374646976, -3.129584692807658, 2.8332596265987413]","[1.790468770439675, -3.1271402202031835, 3.126924669806384]","[2.461675115292009, -2.749991799230866, 1.822667035507451]","[1.439707036678305, -1.96745294402014, 1.0141675294908814]","[1.779375391507182, -0.4863239636121017, 1.0439872724507284]","[0.7455970548213293, 0.15693958271968173, 1.8440642578860098]","[-0.2723070157419318, -0.7707365230060371, 2.2987348136050216]","[0.8039720156735666, 1.5481245719388255, 2.2253264075116883]","[1.7940008377287495, 2.249835981984137, 1.868684798813101]","[-0.2786473568826458, 2.2129866670534635, 3.0564670835383887]","[-1.6185565426101662, 1.7719492001207346, 2.6720698780368477]","[-2.235692586269806, 2.143753757635232, 1.4374573466648688]","[-1.6040390289473403, 2.8238773034222096, 0.58325355890025]","[-3.6355526689104525, 1.6916256116750803, 1.1609138406572572]","[-3.6618975531112063, 0.7512369226075407, 0.045431591140704844]","[-3.3536016741968555, -0.6362062546282493, 0.2096336352931116]","[-3.1835141921668986, -1.1139095410515134, 1.3649232622326726]","[-3.2276051740232545, -1.5009573957135618, -0.973262502700313]","[-3.4553780680381667, -0.994219974839728, -2.2182590838731016]","[-3.3290932085675924, -1.7629547626096385, -3.330134957336]","[-2.9759521628061014, -3.107847173912932, -3.196335510694066]","[-2.76847169125592, -3.6253779823678944, -1.9560557038581492]","[-2.8816433006767497, -2.8513688325325837, -0.8426509863136278]","[-4.583839743160113, 2.871609068020631, 0.9341643990796059]","[-4.4409198775153795, 3.488333550088514, -0.4671001240469771]","[-5.391116453366521, 4.6734524347518684, -0.6198634030118637]","[-6.834563091720564, 4.22538229194216, -0.38515661054867417]","[-6.979397690652486, 3.6142666430795636, 1.0128702453487093]","[-6.029840100577896, 2.428896118901588, 1.1775935025221325]","[-0.06075098943415874, 2.126406139873834, 4.5854188984181565]","[-0.10736586014965972, 0.6928804458320535, 5.091679073971201]","[1.2819330295813198, 2.7277375495864034, 4.963877949534304]","[-1.1426771524614863, 2.925237964622146, 5.300745350778873]","[1.8008396375017013, 0.04331771464542433, -0.3575916723742624]","[0.7282007748290529, 0.3763059060822497, -0.9381891134418494]","[3.050285074452579, 0.10489540658712848, -1.0523578206449715]","[3.147419921667377, 0.5199763770505582, -2.451021284441615]","[3.088735981542816, 2.047717275271606, -2.630580424238562]","[3.7104794717018534, 2.8428075826083785, -1.482569871796481]","[5.217083679745218, 2.938840597805565, -1.6287851238482605]","[4.3258320688993885, -0.13540993048126454, -3.1196694355585297]","[5.37275041420011, 0.5257505175278769, -3.3716135263816533]","[4.279662502354268, -1.5671877433790933, -3.4604883682762613]","[3.2248337296010043, -2.232209073051231, -3.258193850345386]","[5.436165177307328, -2.2036806821966146, -4.018700573376889]","[5.4643020851585415, -3.6260974508471358, -4.344902704623119]","[5.8406867401565075, -4.416278340976043, -3.1033186568524367]","[6.874347703081021, -4.156681860211396, -4.1823975183020625]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00625,"[-0.10851546678287263, 0.11177240454474524, -2.515522088612295]","[-0.18746387455868854, 1.2129998089363419, -1.6786815299707216]","[0.6665517056093991, 2.1931839069782284, -2.1558200267184957]","[-1.4811600784935859, 1.7046839068627297, -1.712161535706914]","[0.19823754864700158, 0.834075362122993, -0.23401703615793154]","[0.20741634669768674, 2.028008283835641, 0.5611624447859411]","[-0.8783700844213357, 2.442050887942129, 1.3342111258273774]","[-0.9101637320447926, 3.6083055799717663, 1.8042430993187877]","[-1.9262216761319448, 1.5254401512881015, 1.627795451254667]","[-1.8291515554761946, 0.17962551715886393, 1.1688265418092847]","[-0.776872891551917, -0.20749946042453876, 0.3127495775712269]","[-0.71117440094857, -1.5456366006346636, -0.1164477622134943]","[-1.6534271431294225, -2.4802875936133804, 0.3176777722935193]","[-1.5466855387933183, -4.142167066312054, -0.21952716104211636]","[-2.6868103599725477, -2.0864746709321103, 1.1694403000461882]","[-2.7748274436024487, -0.758805667921482, 1.5927306451630616]","[1.5681403619254026, 0.28918883104023, -0.21869680927779672]","[2.6867518841447273, -0.16200575399285388, -0.20587446807262139]","[4.042929870622565, -0.7113740966948439, -0.19038176654171454]","[4.011246266518948, -2.092860098378711, 0.4307819125328466]","[4.08957026174138, -1.9422236317622916, -1.0724886862845728]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB09054,"[1.1558821674163477, 1.5504573511522663, 0.08728413115676797]","[1.150011620815229, 2.972662684755381, -0.47767549704065365]","[1.5640292414787726, 3.0194147717621425, -1.940624547109517]","[2.4982244713074153, 0.9757950211811914, 0.012675033027278291]","[2.9379747339703086, -0.22128792244939766, 0.6696784510705575]","[4.1876063198887605, -0.7061899067634418, 0.40964295210112983]","[4.662192554784673, -1.8392930108971646, 1.0192299048698499]","[3.8885188091669693, -2.5174798298173484, 1.9172793759833706]","[2.6509517792112285, -2.0371884036115104, 2.182968491550711]","[2.1630447841183105, -0.9240793322681392, 1.5946887618283698]","[0.9322043207070497, -0.6694131064173602, 2.0600542412667213]","[0.7209810728147423, -1.6838640286107633, 2.9425444807718444]","[1.764913260227983, -2.5499713912191257, 3.045838775572817]","[0.11674254722847215, 0.6772647115063649, -0.5868866810175665]","[0.5183801505658064, -0.1705004546874002, -1.5709873807054389]","[-0.3571251163547632, -0.9617275618301879, -2.2310958745993723]","[0.10605518307101937, -1.8161945005268976, -3.2363288764595706]","[-0.7883351021776245, -2.6316086935334444, -3.9301210788943957]","[-2.150395512170623, -2.594150631812388, -3.622468858371889]","[-2.6274514050326983, -1.7465846933424274, -2.6173718579665404]","[-3.9631417783386875, -1.7326294376935654, -2.360382787518702]","[-1.7268995720223972, -0.9190501650813918, -1.9063471964928165]","[-2.1380092529352637, -0.03912579632194549, -0.8878597651557056]","[-3.3548229106565524, 0.00614029409209993, -0.5480725211224103]","[-1.217891613398602, 0.7617855077937801, -0.25425855322720436]","[-1.667983404924696, 1.709262309482151, 0.7399362704830236]","[-2.598629586600567, 2.7031466766081835, 0.39666394473116484]","[-3.0416917228796643, 3.620331335603841, 1.352975613174586]","[-2.55967393960423, 3.5515920488044856, 2.662295934154838]","[-1.6344644097872612, 2.56567186998282, 3.0168300352834287]","[-1.1911976899041727, 1.6468142841483209, 2.0598950786495798]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB06713,"[-1.8288995279111409, -0.6053944745735731, -0.4175149933584737]","[-2.82252037031094, -1.4229564386224882, -1.210416870192955]","[-4.174287252261375, -0.9681292311008619, -0.6495543395057206]","[-3.906804922118201, 0.25029674004734, 0.24995803945586875]","[-4.88417698437191, 1.2273747416904346, 0.03715741929938057]","[-3.9725980071561806, -0.18581466052090567, 1.65890187703758]","[-4.026133474410062, -0.5421854465636409, 2.8098579872130065]","[-2.4986438364882555, 0.7360437997069932, -0.16738639524599896]","[-2.6453819283992397, 1.6008559950176817, -1.4552994411580709]","[-1.3542876645399373, 2.0494922149226498, -2.123880502251155]","[-1.7182548631505128, 1.491732192133291, 0.9288762472674057]","[-0.21486016169063288, 1.578681013233635, 0.6042257672723657]","[0.38670473554431845, 0.19485542821518265, 0.29809342163454955]","[1.873454916944918, 0.2720675367655582, -0.04811914423594211]","[2.690095388297556, 0.9789380397090044, 1.0364068666091584]","[4.152215425421965, 1.0580240560653846, 0.5958544736284328]","[4.670697500639823, -0.30405183881319475, 0.2064268189313738]","[3.7267463877339084, -1.3658801789569233, -0.18540944180240782]","[2.417388531278071, -1.1212089393727587, -0.28715136357441584]","[1.4803302287504565, -2.2724965259076164, -0.5013957717274589]","[0.2142836584559924, -1.8588198184416935, -1.2604508575097697]","[-0.37545388549294945, -0.4948751476135167, -0.8527677016081056]","[5.941468628416886, -0.5533824961778199, 0.19306251147971532]","[6.868917476818059, 0.4025530820439283, 0.5405253923411025]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
