0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123
DB00422,"[-0.826726434660751, 4.195096217749744, 0.2469741452544938]","[-0.6339448636704953, 2.881948111342724, 0.7501739059424827]","[-0.24814604616487193, 1.8265709328657496, -0.07592103154969827]","[-0.06670534930265308, 2.0090417432109646, -1.311792125344363]","[-0.07116255324642591, 0.4618943093822875, 0.5210157249607802]","[1.2995934100550137, -0.146923796785279, 0.1915078292059263]","[1.488431826793305, -1.4831289408677937, 0.9171491332765098]","[2.8382309599129756, -2.0825269573448724, 0.5372170407610771]","[3.9551312546515844, -1.0805930575874108, 0.8110252922090836]","[3.6441595914226697, 0.23640473899911207, 0.10398231817444979]","[2.3711978460338914, 0.7720042717898075, 0.5832578487384449]","[-1.2122992575438427, -0.43530898886118774, 0.13394252714255528]","[-1.3602404750913584, -0.8999033706555685, -1.1826602582401902]","[-2.4349623787632733, -1.7280944912712697, -1.5186661043490857]","[-3.366935532701591, -2.09372681603309, -0.5431450273259372]","[-3.225123853040594, -1.6305724153283778, 0.7681934097240672]","[-2.1504981446835196, -0.8021814906057406, 1.1053400567855203]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00353,"[-1.1458863099330476, -1.6717450384796566, -0.20677637580955646]","[-2.5845374336828604, -2.087910334687857, -0.6333423456878997]","[-3.6069743223405446, -1.1766594533203656, -0.022385211310458397]","[-4.991749963122043, -1.2847048266523813, 0.06839582108268798]","[-5.513746901276142, -0.12563428826709505, 0.5679119467519639]","[-4.455493751383808, 0.6887614937837581, 0.7583015010874876]","[-4.4452073611017635, 2.0102461129668012, 1.2067341323821295]","[-3.19246949076134, 2.6663744443309843, 1.2681059189851966]","[-2.0012891849287726, 1.9988319585641146, 0.880667214878256]","[-2.0633767805828445, 0.6622810153320886, 0.4349292793211934]","[-3.3069620622450917, 0.07097107007933168, 0.4014098568461525]","[-0.9190820706427466, -0.16452850436045344, -0.0061478423547009315]","[0.3099496803100996, 0.3503791615522822, -0.08624458930793746]","[1.4847433746643566, -0.463847394408363, -0.546746398174291]","[1.2172955075587, -1.9778481266888652, -0.49662701437513196]","[-0.10946812924980627, -2.327698317519067, -1.020079650256793]","[-0.20816635492803706, -1.927795028072517, -2.4233331025773537]","[2.711420321819104, -0.10987358714448962, 0.22402817903505237]","[2.7738402573849306, -0.34827536047719376, 1.4613701539939725]","[3.809073903558544, 0.5083891788014642, -0.45656596465234955]","[5.061228700322805, 0.9134533804813492, 0.18237048860365357]","[4.814566663673517, 1.958176634085797, 1.2605593524234302]","[4.38934843684538, 3.2724106341488834, 0.6343854138021269]","[5.784043305900414, -0.2868881464801379, 0.7724927040852216]","[6.188899964141035, -1.146866677568569, -0.2484375401312476]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01140,"[1.8045099921458716, -0.04765469424756888, -1.2090778346724715]","[1.9567610800807569, 1.6638597724276833, -0.5816875077043138]","[3.769842792327268, 1.6482173754495848, -0.8577508950921453]","[4.490843782975896, 0.6048692144229955, -0.03630115143640461]","[5.813396578940541, 1.010349255605313, 0.5245148275903232]","[3.9789023211270664, -0.6407754147876576, 0.11375461680517039]","[2.6720940802722035, -0.8795587844727363, -0.4156283200979672]","[1.5086344546193882, -1.7389103656481981, -0.10294727864206822]","[1.3262277327987377, -2.7886392871564536, 0.5671363812623166]","[0.6184232935806095, -0.7994222505583521, -0.8595882026822321]","[-0.25448939915978247, -0.09077968960015209, 0.07076111776801522]","[-1.4775852354508894, -0.6498835850946844, 0.5505953057609458]","[-1.863022270481999, -1.7824027587239393, 0.1500794291757634]","[-2.316737677454632, 0.1414771475599811, 1.501893506017026]","[-2.7867618346905916, -0.6956027230816672, 2.595067741085414]","[-3.464668284543773, 0.7996480629186548, 0.8019108577863512]","[-3.446366051535004, 2.1867244161077215, 0.6177011284736582]","[-4.499622646708284, 2.8219760103927647, -0.04705685944113528]","[-5.574164277213224, 2.0713970589346555, -0.533154481207408]","[-6.619616421581654, 2.702926294280207, -1.1923963784359073]","[-5.595557230982785, 0.684913358470688, -0.3563936889225521]","[-4.542923791928797, 0.04887255013173419, 0.3080769171808462]","[4.657961262522712, -1.7311443660878267, 0.8585812539614757]","[4.188768149567451, -3.033747256001979, 0.7501317414557068]","[5.655149600770743, -1.506709341244008, 1.594251482601551]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00598,"[1.9011617751815246, 2.6437657631006073, -1.038394049753493]","[2.226925634491252, 1.3702385211013102, -0.27376626831598194]","[2.292834473923181, 0.1675441402854162, -1.2139688176219587]","[2.8925457635683203, -1.0496926053562106, -0.5204439794103138]","[4.36550417398035, -0.8958291604728105, -0.338992261201537]","[5.237199350146814, -1.176169862022736, -1.3978429547211682]","[6.61634042882384, -1.0180866023383566, -1.2299370339464684]","[7.125560558784498, -0.5772222714943338, -0.004530774780635366]","[6.255920388453992, -0.2935661114960334, 1.0530659546046655]","[4.8767614645868145, -0.45156002404429346, 0.8857828941352902]","[1.3031488755659426, 1.156859388497086, 0.8449411962017456]","[-0.059337217258758096, 0.9508373889170268, 0.3604079352977471]","[-0.9799437771968591, 0.6296722861342091, 1.5257650165820227]","[-0.6391084350971229, -0.6052467325587602, 2.082264896771655]","[-2.405813827034429, 0.619132829961871, 1.0789170181319294]","[-2.8850748615349815, -0.37464882417385675, 0.2153166030687458]","[-4.221989927030516, -0.37879500836212554, -0.21310822935475354]","[-4.669241417104029, -1.4583381104456565, -1.1261900521348434]","[-6.011485561264263, -1.5217447514667086, -1.598760265799675]","[-3.8539645131712987, -2.3440517576477253, -1.4990476963849837]","[-5.083698333851731, 0.6456733734502814, 0.2426440622237898]","[-6.417530706031123, 0.6985487530270817, -0.1436550848205133]","[-4.599375067908784, 1.6370916890467815, 1.1018237359330383]","[-3.2673392430223833, 1.6255876883580234, 1.5175397487699869]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00673,"[3.118349212036101, -3.294784839969082, 0.1171377715199717]","[1.9859102291266648, -2.3820830574068945, -0.3197186062803479]","[0.9230258002953026, -2.4778077101052793, 0.5837187081635961]","[-0.19320578125504767, -2.824024908991478, -0.18916994055119138]","[-0.9397979460898548, -3.81711714514757, 0.4638778739094383]","[-1.7880251597996029, -4.386091116428149, -0.5082134641355677]","[-2.652349096468786, -3.331007260845794, -1.2251041815446424]","[-2.524465962628815, -2.013960195955428, -0.594497573349605]","[-3.201066563640457, -1.0754638543968729, -1.4783469697187885]","[-4.252949771825078, -0.33978023509801203, -0.7223662863274128]","[-5.53927489909735, -0.7336524428136065, -0.6650765705830712]","[-6.1607392997381, 0.12093747757177287, 0.12966218980036257]","[-5.227895452871524, 0.9995253559950039, 0.53284442558692]","[-5.472825568809915, 1.95671885142641, 1.312542166098854]","[-4.004973892345853, 0.7517933589193991, 0.02827304065490869]","[-1.107629552836175, -1.6103277655623398, -0.5105271498746258]","[-0.9479953405597867, -0.47290459549945235, 0.4619093846989448]","[-0.5151253724452489, 0.7710351705608943, -0.008839643307657675]","[-0.3624454403751008, 1.8420166755282834, 0.874942497810421]","[-0.6477949218673191, 1.6744769021845836, 2.232593361132723]","[-0.49491624357326075, 2.7126043733522502, 3.089357301191044]","[-1.0866634928629013, 0.43558195777587244, 2.707640880912836]","[-1.2399246238293247, -0.6365165446129124, 1.824870591758622]","[2.4517419885214755, -0.9639570516487748, -0.4098570678355229]","[2.363921873700202, -0.29280760065899075, -1.6327374807512263]","[2.748782519134685, 1.05104739492951, -1.735186105863709]","[3.1902592072332427, 1.7278537642728764, -0.5897929144489062]","[3.296784101191578, 1.0624092358089499, 0.6391095900150752]","[2.9071094103379167, -0.28044936168192736, 0.7265212893950225]","[3.7080013271096024, 1.8142116332185256, 1.8708539893518554]","[4.305830962570737, 0.9613358140294066, 2.781769343324381]","[4.607807711959763, 2.8134013013134664, 1.5450425593176986]","[2.5913761373696804, 2.383200330238521, 2.4494914917423203]","[2.5816850622554854, 1.7882799308026855, -3.031389315970863]","[2.739245222084831, 0.9250783343029076, -4.103050449911088]","[1.3167198980250623, 2.343757255306364, -3.078931202510443]","[3.5235137199672417, 2.797470569294048, -3.1367359366774727]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00222,"[-3.671249866576284, -1.3542499170783722, 1.8259993853160452]","[-2.891480344555956, -1.2544536199073326, 3.119545973058477]","[-3.8846524872161092, -2.829999037807344, 1.4667758945423341]","[-5.209224323874052, -3.099490459307176, 0.7363320625929076]","[-5.628974447317291, -1.9313067312433065, -0.15990800153751203]","[-5.761185175908702, -0.6167684723208866, 0.6324554295620343]","[-4.993793295313277, -0.6087232765317339, 1.9595077553038922]","[-4.669340134691349, -1.7728998288161957, -1.2458598549081814]","[-4.928172785874983, -1.1232922780370544, -2.339569236728059]","[-6.178535129158086, -0.5482647715777409, -2.542373254707477]","[-3.9280950721646137, -0.9884327518010887, -3.350812174885902]","[-2.3319148532979215, -1.6426060617419111, -3.184479693790274]","[-2.414811654671253, -3.1435317603856427, -3.1807829709013875]","[-1.4885199795700321, -1.198055192373109, -4.345485554217197]","[-1.6027712664203029, -1.0708740156164651, -1.6938757991330222]","[-0.8737668411119356, -1.9485169934186153, -0.8836100513958768]","[-0.2986917338018495, -1.4906896637484897, 0.30524743373643504]","[-0.45408555567677306, -0.15395645675383576, 0.6892576175302685]","[0.17355222455139294, 0.34039895961550987, 1.948756485159254]","[1.6327465608036449, 0.701952912814243, 1.722431015562828]","[1.729722866386535, 1.9299306689130158, 0.9461385424631484]","[2.8387504263067758, 2.477751784898517, 0.5451308267076185]","[2.762976365942635, 3.62725308027562, -0.23207026637140848]","[4.131235367763332, 1.9271890898016972, 0.8638128829738172]","[4.48516160806271, 1.1772281914984943, 2.068507031905362]","[5.986094393446329, 1.102992067615394, 2.018641453011948]","[6.814226975465857, 0.4308416424820551, 3.0587643489445835]","[6.4711015881569205, 1.72803753142497, 0.9515416217069347]","[7.914348110282148, 1.9062868468602985, 0.6095366676009274]","[8.423106733233693, 3.2198299726951185, 1.1706745960104459]","[5.3504871665149, 2.2698180163047605, 0.220376595117711]","[5.430577708416778, 2.9457623415971286, -0.8399703781677939]","[-1.1804382134608369, 0.7245210520308141, -0.12207238384074691]","[-1.7543849346725688, 0.266317129638882, -1.3111589906404644]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB06700,"[-2.2178169017683085, 2.665957156844207, 1.0318067088062706]","[-1.0204043556654503, 2.3134855566435526, 1.7808776859590165]","[0.08396032480697437, 3.115602615387904, 1.2775540132505598]","[-0.724761164010484, 0.8846309542922483, 1.616234555480805]","[-0.5784056196324917, 0.4339153242844359, 0.14589426499425515]","[0.8469395894945181, 0.5175743271604648, -0.33027169332433565]","[1.1301567443517062, 1.2153806489089827, -1.5101085617154815]","[2.4439235784645508, 1.2989381166526663, -1.9805381092633998]","[3.4803194854092347, 0.6819318564080604, -1.2740935236671047]","[4.784530709938611, 0.7659027566938316, -1.7413725517980376]","[3.203484463470865, -0.020446277279676982, -0.09781663406031865]","[1.8901970071558611, -0.10431671279055765, 0.373112519715756]","[-1.2397806007857382, -0.9316362967445484, -0.13496372342301177]","[-1.045501764097611, -1.267214363178441, -1.479409451316786]","[-2.7481756961183903, -0.8171493589339001, 0.1302764116398127]","[-3.455714715825602, -2.161132382277778, -0.03842424490562198]","[-2.8408627166579934, -3.1991897251317907, 0.8926301516713012]","[-1.3581473043048258, -3.3629090870178, 0.5812360574443074]","[-0.6339410642251079, -2.0293251099208973, 0.7573761245125971]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00612,"[-6.070131332794173, 2.0650728020638516, 1.5186095322032593]","[-5.33554613822919, 2.2724722992644213, 2.8346851273181968]","[-4.833290353472012, 3.702230535266129, 2.9659724203474065]","[-4.261797503861134, 1.2935250234064584, 3.024420488759055]","[-3.238259709357524, 1.4345953642201517, 1.988038270991294]","[-2.114667777776879, 0.42845575764488975, 2.1940654836770577]","[-1.5453853808317692, 0.5905041017897632, 3.4585553142900274]","[-2.625441022998664, -0.9956977801065705, 2.0242517336884]","[-1.5407454458682661, -1.9192699003246332, 2.02690518789317]","[-0.6859197077267067, -2.1010556165982934, 0.9338120109629562]","[-0.8646104318262845, -1.395099337403191, -0.2677134604770225]","[0.005427672309893383, -1.6005987438413218, -1.3420675697930244]","[1.0548309092487758, -2.5172938838711865, -1.2265455659441278]","[1.9963614255244146, -2.7156237302850164, -2.3619189664979707]","[3.069832521369007, -1.831717835560241, -2.2432873430171463]","[3.2968000870473064, -1.3773068865814477, -3.54304719407222]","[4.266033400776043, -0.21043581747454246, -3.5175340883742123]","[3.6824136129035048, 0.8761256236117113, -2.8610407213335516]","[4.752530756314714, 1.7014023862700687, -2.5121246220627085]","[4.543143308201979, 3.0801320276575157, -3.1058660562875247]","[4.835769654814968, 1.8142419182617275, -1.0022514240423277]","[1.2416379440100607, -3.217171135524963, -0.030367224481985262]","[0.3710135122238905, -3.011181535301249, 1.0444486662518384]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01032,"[-1.8377180608810963, -2.3186615163995867, -1.6905679791094717]","[-1.3856481912776724, -0.9059833826092553, -2.0032285335420297]","[-2.5211714706742683, 0.08634234899895311, -1.7493083986906393]","[-2.5064594374532736, 0.6947837134010758, -0.41117971663165787]","[-2.5390666381193263, -0.3252334460034403, 0.6334203794107632]","[-3.3906866287865123, 0.1398388367883341, 1.8024492111375792]","[-4.8572997563291125, 0.13968826724655878, 1.4171494835718306]","[-1.1158940165401476, 1.727144473972546, -0.2024031990722637]","[-0.9758995406402904, 2.620034216930466, -1.4045365314029723]","[-1.323311025350587, 2.596010481720546, 1.0064381750123537]","[0.36996000487038866, 0.8080761198146619, 0.013213323694145511]","[1.3125049964388666, 0.7394993651584989, -1.0187687428887873]","[2.492295321116016, 0.01081246071367122, -0.8449659661313575]","[2.742163350051453, -0.6536505614554693, 0.36321356735766136]","[1.7981091879328852, -0.5773119575007446, 1.3972726369051944]","[0.6184798917228777, 0.15143128880389578, 1.2232028437583122]","[3.985321998103746, -1.4208811867845852, 0.5408174438024764]","[4.9175750139212875, -1.4919209697814881, -0.48793450246281334]","[4.216745001895039, -2.020018553014792, 1.6246917367511744]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00700,"[-1.1613842642655845, -0.6119151572682262, -0.6492494178466509]","[-1.9424499600813596, -1.2854334566730736, -1.7592449298967199]","[-3.4022820702128294, -1.177017903485451, -1.3161707406865262]","[-3.4292110544423515, -0.24840805771042587, -0.09814322310456841]","[-3.6590041809754914, -1.092228411618332, 1.1749097774956436]","[-4.971881018608944, -0.6150734602215917, 1.7955443848353672]","[-5.394645126689364, 0.4570629263572418, 0.8767391580116755]","[-6.443662121861368, 1.1351262921069765, 1.0259395134286278]","[-4.524617896729143, 0.6493511460155622, -0.17112488241624976]","[-2.070495132872934, 0.4727997545472732, -0.11702998149743314]","[-2.126563281900955, 1.6867172871964886, -1.0590962960535504]","[-1.5383926501991823, 0.919729746656172, 1.2463668629451505]","[-0.05057954232056098, 1.3372411921654541, 1.2304477733020571]","[0.7353079796041782, 0.16994833405855758, 1.3962021236855076]","[0.8213530617430546, 0.7859191775336075, 0.13269794543875715]","[0.21792632594602807, -0.0686356972596734, -1.006185364833255]","[1.207988989341613, -1.1388055172180709, -1.4866371185804872]","[2.5430559995803077, -0.5043521474672922, -1.8921895394620074]","[3.1025540804435856, 0.40035464355635153, -0.8264276483639537]","[4.425044725925181, 0.3754896775164512, -0.6321119720181657]","[5.0846890428054135, 1.2907772084359022, 0.307395166834497]","[6.323187632739068, 1.1975994298112422, 0.5067071274375642]","[4.303613854614991, 2.3752808975961264, 0.9751714401360816]","[2.8566095601827195, 1.931434370042303, 1.1770144719083213]","[2.2064729272123143, 1.4250417391208225, -0.13183695785782296]","[2.0056305066153914, 2.611906501896247, -1.0651737559453336]","[1.377921993842133, -2.286396074409391, -0.5301921819279126]","[2.162627583196192, -2.1933884350413866, 0.4540226555962878]","[0.6269645340179008, -3.4446661418110267, -0.7300054002503044]","[0.7142195033516346, -4.555459864428265, 0.14923596347379073]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01172,"[-4.023645096673582, -0.6023024033022458, -2.3613142105532674]","[-5.1796624678308705, -1.188075870051396, -1.7011045273390228]","[-5.274778701037819, -0.7205564178649801, -0.25012743244867514]","[-4.203977964452582, -1.213627121361962, 0.543094398528392]","[-3.1459510441872762, -0.2837891379154984, 0.5215815791048758]","[-1.9652141388785838, -0.8813381705682645, 0.9737825679174575]","[-1.1703793762331465, -1.0181133530733497, -0.1686581343474231]","[-0.7218131815226169, -2.474132401401852, -0.3305407770470807]","[-1.875671545724165, -3.35567491684269, -0.3854869565476538]","[0.13219862497835497, -2.683479372388425, -1.5888583080431724]","[0.7888600879063402, -1.3990816466269418, -2.1041918159748145]","[1.9175628388259431, -1.7247160654745461, -2.9582257482624765]","[1.2222847320015768, -0.4720714608147554, -0.9635031451000541]","[2.2219761853914965, -1.0720783606163655, -0.19019435161707224]","[3.2472197779163836, -0.12352418362167646, -0.1313291604629352]","[3.24645122213356, 0.5191847623243435, 1.1223013185506094]","[3.978110088839843, 1.7292651809353539, 1.0113453824818954]","[3.106859259573368, 2.839641377277826, 0.4366826255795308]","[3.707413368982537, 4.081499857351931, 0.6467681978533136]","[5.315268321435904, 1.5966847124596686, 0.24617430464685228]","[6.302211472277827, 2.334298430786249, 0.9021240508590574]","[5.747160295466747, 0.13156070619324106, 0.12704112216038976]","[6.903263996445588, 0.02299496630081499, -0.7448226869340226]","[4.617902220541797, -0.7612907822403682, -0.39981563544805593]","[4.704279738462819, -2.012176745348268, 0.21619435246438637]","[0.03923489710235105, -0.07642469097752667, -0.06583267838772948]","[-0.3541224857608877, 1.2273386008877782, -0.36289883137708084]","[-3.497571094771112, 0.957171302045741, 1.356675775847337]","[-3.2522946683160994, 0.7231591488729763, 2.710874034601192]","[-4.968946594239635, 1.34329847158742, 1.1762415271487487]","[-5.0969694516240756, 2.732359782786071, 1.213556204124526]","[-5.546288117333723, 0.7950079671946451, -0.1295641908715781]","[-6.9209712057418775, 1.028987843266089, -0.1791655681869301]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00836,"[-3.6211794242590276, 2.6084549845400393, 0.33042005347617676]","[-4.007320497311343, 1.9698841093517234, -0.9166135545270506]","[-5.106870305925674, 2.5735458515141376, -1.6519860795407384]","[-3.3550707438876075, 0.7913009693813471, -1.4379592685772065]","[-3.724856653600473, 0.35137440963570427, -2.5631988885629413]","[-2.2037066517101236, 0.08834892440290029, -0.7060479104714683]","[-1.9526556991258264, -1.2809898258738304, -1.4002434186765667]","[-1.0933987806258945, -2.2916587516655484, -0.6295278851781634]","[0.28906902699774234, -1.852805952793877, -0.5139076524503252]","[0.9687853492187999, -2.2093184100266003, -1.7581720456189696]","[2.407361778875634, -1.6991376750584595, -1.7120682974500567]","[3.146016908712095, -2.1221005693602133, -0.4270618655133278]","[4.297549814585346, -2.8100665145149857, -0.8189647296472847]","[2.2995982810740387, -3.0758959328759663, 0.4283637970480781]","[0.853615331873985, -2.5844642425113173, 0.632684219492887]","[3.534973853034029, -0.9129395400392359, 0.3997971487072807]","[4.755880755642933, -0.892760523569265, 1.0962405330784777]","[5.09427241694583, 0.19092514710715128, 1.9114991605536227]","[4.2087316947757465, 1.2613243829089797, 2.0519907533272224]","[4.629489405986833, 2.61873977986148, 3.0739685362735667]","[2.9839040232012604, 1.2463864211578974, 1.3823333533803017]","[2.6464120312509123, 0.16378650966170952, 0.5652727930694423]","[-2.589799468997616, -0.20028242667119728, 0.7524234518868417]","[-1.6213236508168243, -0.2351381750922133, 1.7741744549112375]","[-1.9681915336389266, -0.587081835294281, 3.080617638135325]","[-3.2859866413179364, -0.9346947604485389, 3.3826509414293433]","[-4.253550624204216, -0.9410782297481842, 2.376245822724447]","[-3.905102874685865, -0.5892866760287305, 1.0697001709398888]","[-0.9702030922813859, 0.9842738657512984, -0.8749658397005255]","[-0.23766556332128222, 0.9508436659754862, -2.0784625210038903]","[0.8266606375038449, 1.8290578354710332, -2.298619635916034]","[1.1608756763382069, 2.7762906636507454, -1.3293496293442744]","[0.42709700901902187, 2.848798800475401, -0.14386746716247434]","[-0.6334117893221123, 1.9663637207268037, 0.07590526112978095]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00624,"[-1.815920552183559, 0.8775011364967046, -0.5931141963678015]","[-2.653404588891242, 2.1326407262112568, -0.7068639449670246]","[-4.007740665958325, 1.6131101941124184, -1.1956184038995616]","[-3.959113371253324, 0.08454699826276435, -1.0829604799636123]","[-5.164213307974699, -0.41436827060143405, -0.5809798698010713]","[-2.7797632266664047, -0.2100975563114031, -0.16740785213188705]","[-3.1824607648858696, -0.07620276956961589, 1.3112964967509722]","[-2.114896404672604, -1.566966781663091, -0.4094653172014848]","[-0.791924412041526, -1.6628400023317083, 0.3777643944271189]","[0.14074130789476696, -0.47932004279914975, 0.04487489309802915]","[-0.562053866427487, 0.8788084298668273, 0.2719719822503839]","[0.3432311596795209, 2.0968898948910737, 0.017897289096461474]","[1.731310720374139, 1.761617537645415, -0.5367802896403575]","[2.369906957992761, 0.5934709696368539, 0.16218327641828126]","[3.702856389577173, 0.4955365665132708, 0.11906991064733746]","[4.397565846312143, -0.7140598467265021, 0.5866429403881075]","[5.654600744589237, -0.734020588394962, 0.6283464159067478]","[3.6204648261675874, -1.919422049915833, 1.0251355091226761]","[2.196025428074868, -1.8851348289306762, 0.45998593994973036]","[1.5162854048467638, -0.5312746926249626, 0.7315294409612417]","[1.3585023754459076, -0.340415023767436, 2.2404052851187966]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00714,"[-1.2808162826396507, -1.2657888546526874, 0.16724315761779]","[-0.1138252933651949, -1.7172901864528867, 1.03959741714447]","[1.178194562310008, -1.1614116841917785, 0.5142454803719408]","[1.2330967331791662, 0.132900807385374, -0.05834368023366975]","[2.482767841614443, 0.6260218121490345, -0.5069269980686537]","[2.5908359746286296, 1.8745806843263169, -1.1109799068946185]","[3.6386515412235743, -0.15334625283342004, -0.3586942710921377]","[4.867241750870846, 0.32733413858730304, -0.7944668372487125]","[3.5661105433410887, -1.4178644050567213, 0.2252897912038087]","[2.3414080429499706, -1.9184448349791763, 0.6623860871030967]","[-0.03831288690686821, 0.9093180145854561, -0.1774929368532488]","[-0.04264677864721917, 2.2961388852545594, -0.39518440486273293]","[-1.2436767742744237, 3.0076154025839457, -0.4452543383395676]","[-2.457411273503013, 2.3436434794283536, -0.26104216459067076]","[-2.4714443022523733, 0.9669082600329657, -0.030038622964658857]","[-3.7626212544232867, 0.2623906015356117, 0.18549812893462872]","[-3.5339912791669104, -0.8952548536822, 1.1548593252471395]","[-2.545008912488342, -1.8585961834592988, 0.6470700734395024]","[-3.1377971829668025, -2.601471964071023, -0.4551835754567503]","[-1.2707547694837502, 0.24261713351039627, -0.002581724457014854]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00153,"[-7.493654611619936, 2.7742143752544246, 0.0554925740892867]","[-6.259647291275571, 1.8915206837406056, 0.06141323348630411]","[-5.787422443456383, 1.644055416398335, -1.364310847932351]","[-6.515628110255173, 0.5933652815006472, 0.8394799220945971]","[-7.510877511827671, -0.31964256185115814, 0.13754854102336606]","[-5.244396536282906, -0.15049313825003058, 1.0988998258724143]","[-4.325085103031065, 0.3361629882359296, 1.93729160676063]","[-3.0327564459571024, -0.3820314268065512, 2.209744884724896]","[-3.315847674810816, -1.710715043929573, 2.8954658919582896]","[-2.1928314536946685, -0.5714694145260352, 0.930400288864911]","[-1.9206822545086224, 0.7602225243360305, 0.2090596353405634]","[-0.5018378416281576, 0.684512091703759, -0.35341144912311084]","[-0.11095527100149308, -0.763126449879011, -0.1439912184348118]","[1.3382268183914605, -1.1559513049071712, -0.1336335482398391]","[1.6678920303414162, -2.5034524841525334, 0.4651516402547291]","[0.4196114107722568, -3.40542573570867, 0.5611511165331905]","[-0.8189756780854788, -2.7343006160656143, 1.2058718201083025]","[-0.8109385603314251, -1.2004591368187392, 1.1269064814531873]","[-0.11624039222092115, -0.635942454365584, 2.376081092296393]","[2.2728881607809472, -0.3674085613021344, -0.6671668041525256]","[3.6974091048169515, -0.7249770375505604, -0.6966556073586792]","[4.673175637669248, 0.03139930495991936, -1.2165754159596605]","[6.06559365276711, -0.5214523779232102, -1.1361188949387444]","[7.103520639375138, 0.5852228099535354, -0.9742945389095784]","[8.381644216865991, 0.03127544443608419, -1.0189064920576911]","[6.9521390753966, 1.6060680486943706, -2.0946969504145527]","[5.607536167486993, 2.316835863982992, -1.9743125957632144]","[4.472028545463119, 1.3393550473578035, -1.9093643509127027]","[3.3061117198598335, 1.7093321035654934, -2.4265198406636763]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
