0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
DB00384,"[-5.4522967231174775, 0.3722388404906347, -0.2852502106843954]","[-4.063295292194966, 0.13040382495706535, -0.09890223128985234]","[-3.6538417616935135, -0.9037569498561069, 0.6848708734521626]","[-2.3326236587439206, -1.1577640275114058, 0.8799847845931025]","[-1.9368928972569759, -2.24817762709366, 1.706467669988061]","[-1.3776028920038677, -0.34334648694462333, 0.26580445682212533]","[-0.045481702903605925, -0.5505325373480636, 0.4270000448932317]","[0.886851265933688, 0.2465542958749633, -0.17054998530422372]","[0.4303434982300105, 1.3140526398885373, -0.9878150376092547]","[1.3323758462172643, 2.175694539995655, -1.6756358421181923]","[-0.9061523633010644, 1.5140915737028646, -1.143971704566078]","[-1.818330326631747, 0.7156335737622211, -0.5368283489558132]","[-3.147988482413149, 0.9330746110615735, -0.7049659423187358]","[2.3255585534702585, -0.05589362051471157, 0.06922099706439915]","[3.349382581625627, 0.8351344545481939, -0.2929904462630746]","[4.689321559910697, 0.5280077890352018, -0.04037726025110676]","[5.023691731235095, -0.6755488005718299, 0.5834013837592404]","[4.018047448567207, -1.56980078094707, 0.9554829283492853]","[2.6789336150703056, -1.2600653125293915, 0.7015123004465335]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00387,"[-1.5648323209239867, 0.20250577292797864, -2.1377711064970892]","[-0.6748245936322693, -0.12309730746676412, -1.1079948173694043]","[0.7485128715647105, -0.04965960480108879, -1.6909626962749165]","[1.848616144013452, -0.4652405268395216, -0.7146328024950381]","[2.274078837648459, 0.6717873137558468, 0.0865584201624343]","[2.8346611563786435, 0.13864642556620183, 1.3173981001888129]","[3.992968247394398, 1.0269924498388232, 1.7118698354897746]","[4.376165450545974, 1.7638629186182668, 0.45239687902927417]","[3.3933283797841023, 1.299539833328092, -0.6004567387014871]","[-1.0009927977394235, -1.5613603448123845, -0.6255011499914358]","[-2.432560340008945, -1.6662655144481953, -0.05959244459469763]","[-2.903486413335912, -3.116198552795867, -0.01909855858316128]","[-2.9643508312556746, -3.7240160353786163, -1.4269620006130417]","[-1.9737644059430761, -3.0905075673399143, -2.412273444966329]","[-0.7039260214295168, -2.629943859387942, -1.700978081155033]","[-0.8153508380546508, 0.9060441074664601, 0.003684532525688767]","[-1.032866202622336, 2.256598463642099, -0.31794533576934253]","[-1.1043256732168454, 3.225628530550851, 0.6865687571813894]","[-0.9459414047741773, 2.8582164102163956, 2.024675003845808]","[-0.7113323084787291, 1.5227399194275313, 2.3587798985452926]","[-0.6397769359142288, 0.5537271679318294, 1.354698484833173]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00388,"[3.8205463182346997, 0.8330742482609137, -0.9950587479353543]","[3.5076522517011814, -0.357271205147473, -0.22371166242410306]","[2.0946125439973677, -0.6354776423382168, -0.4216396751925925]","[1.2796459548964076, -0.06892970072674895, 0.7325791798114758]","[1.5669446636542157, -0.7612200976679095, 1.9110983356342142]","[-0.1820410895430388, -0.14430902121768532, 0.4306584643903734]","[-0.8923734833682447, 1.036405580917756, 0.18722220030647088]","[-2.258325632417169, 0.9870262184840071, -0.10729941110726789]","[-2.9592673324214043, 2.1609335019959977, -0.3460162864791605]","[-2.9181596380646826, -0.2442993205368916, -0.16200258732639478]","[-2.2125015236922936, -1.4271667105385175, 0.07692288689531177]","[-0.846733032977062, -1.378765851485202, 0.3715469083703658]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00390,"[-2.363863305249172, 1.5908147371222299, -0.9785127841716089]","[-3.1620985485703246, 2.6815472971666425, -1.720563751904012]","[-3.9803275737870973, 3.616259282572464, -0.8288968440482932]","[-4.841516705725918, 2.8615994388610018, 0.19572075786706725]","[-4.261303708343038, 1.5240594744304123, 0.6654274176200732]","[-4.839962271315746, 1.156759932167607, 2.036117338202833]","[-6.321674647740034, 1.5699668319608715, 2.183725189837421]","[-6.393755759354042, 2.7362452157004773, 2.952044175069211]","[-7.071901908182711, 1.7557992384876744, 0.8344193703445109]","[-8.508185394820215, 2.223076731458932, 1.112684010308585]","[-7.084202753898286, 0.4320213018623408, 0.06182903267454692]","[-7.187043618539852, 0.7840676837217292, -1.4034588482223571]","[-6.519597853246423, 2.142617631055657, -1.5446266173861736]","[-6.3409421219720805, 2.7341423315135556, -0.1441270285322505]","[-6.908837106342193, 4.011567756475191, -0.11433146349228873]","[-8.061942557829665, -0.6189882285792293, 0.5084500189905355]","[-9.353230146904318, -0.6440223954831457, 0.17938911361134835]","[-9.866877570252885, -1.8429592725841408, 0.797762850740382]","[-11.061554543523572, -2.2352048510548106, 0.7280755079755915]","[-8.876024086450748, -2.5159032659922844, 1.485972386115889]","[-7.658445798764788, -1.8042402580107908, 1.3387036656335072]","[-2.72868218339558, 1.4463202615994637, 0.5301232530516437]","[-2.0666576669401175, 2.574018595858297, 1.3118066729966056]","[-2.1700497727978187, 0.14412217834458263, 1.1242200680790067]","[-2.5025613512340312, -1.0850558706299631, 0.28973701408587893]","[-1.9666576932385327, -0.9223080556710427, -1.1248087650878424]","[-2.596960251229202, 0.3002985471233414, -1.7722397608306042]","[-0.5745160918955009, -0.8095913557436777, -1.1185063607010317]","[-0.12319481582180183, -1.8370552879133037, -1.9590232844902837]","[0.6584561990957108, -1.2615533184996457, -3.154747222562779]","[2.1721730868430913, -1.3408508772166488, -2.9739252455085277]","[2.624203541196885, -2.5561896039735776, -3.4917186007966508]","[2.5082608035783442, -1.2229637920489858, -1.4846473458434637]","[3.883853854099062, -1.070932630075418, -1.19728959804903]","[4.543321123445983, -2.298836155361631, -1.4008128300227773]","[5.799457965762651, -2.108594022188901, -2.263977642775728]","[7.0747689312978785, -1.9936641028241697, -1.4340924569441933]","[7.652963169911719, -3.2536320642296137, -1.2872769520090748]","[6.76447975102755, -1.3845455828608546, -0.0711517849631247]","[7.922516049419513, -1.3110411007497225, 0.7074682171330885]","[8.202198930962, 0.05221142075243797, 0.8114249243752155]","[8.441303738865464, 0.41069312997096136, 2.291157395191019]","[9.747237874219172, 1.1916760241823423, 2.4657038102019846]","[9.845026841665339, 1.7238894753436043, 3.752488583012642]","[9.918676098089442, 2.278674058809038, 1.385799373026743]","[9.206741718851086, 3.4325444268855447, 1.7243029949495203]","[9.433121402685565, 1.771630170164095, 0.016592953020292477]","[10.395132764066538, 2.217496324639093, -1.064003822285127]","[9.31870448215569, 0.3686419253102758, 0.007145841869592365]","[5.688221051988428, -2.1983759066431454, 0.6637955136123954]","[4.907908266954272, -1.32924984168749, 1.631804871749126]","[4.817588608008013, -2.9533602641241496, -0.17168396046726891]","[1.7740168551298139, -2.275461750682972, -0.6274308121360024]","[1.484098810672397, -1.7574392813717088, 0.7725830792283945]","[0.6081358873678445, -2.8159632432045543, -1.2346216173440878]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00391,"[6.348027498342102, 0.4846618775516017, 1.4311538056776703]","[5.412806522694768, 0.58011204194966, 0.2414639708900016]","[4.55551057313711, -0.6047271957117052, 0.18819408112151512]","[5.154823753765194, -1.500789246805428, -0.7978769428098291]","[4.435254319376553, -1.3199863911960652, -2.128632687988603]","[3.348973773567858, -0.30589945728459966, -1.8731961195516462]","[3.2360669908159974, -0.28432424448368426, -0.36791047783686637]","[2.6168567269971583, 1.0076895124612295, 0.17208069749288826]","[1.2168060021340286, 1.1036515026697047, -0.21715680042948746]","[0.19192723733554495, 0.2939955284436835, 0.36773119714371955]","[0.49035905231748234, -0.509344720548736, 1.2943804719012688]","[-1.2153489881130382, 0.38890872841932345, -0.093460287195335]","[-1.6197209662386702, 1.2285999334522733, -1.1601782012558741]","[-0.6827517553196054, 2.018804891225097, -1.8371628968405698]","[-1.0286116831188503, 2.8776270421258574, -2.9157154411834845]","[-2.973509880360484, 1.2596834902105407, -1.5372348428366396]","[-3.9179672959144516, 0.4758487739452423, -0.875235620845468]","[-3.524096847481535, -0.35088621206829657, 0.1764297861739579]","[-2.1818013505937337, -0.39366436263250315, 0.5586615729539839]","[-4.706318821749391, -1.3487450583675316, 1.0028900180655551]","[-4.82666257492766, -2.87800300355529, 0.20947335352285432]","[-6.045671762054086, -0.6672694315114549, 0.985284384861538]","[-4.2849505246141515, -1.5559439982887873, 2.430523381854767]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00394,"[0.40898014731982313, -0.9103879303418461, 0.5987779439633188]","[1.6873333928668754, -1.3823995920811043, 1.259158126537369]","[2.734881630665819, -1.3134159006820119, 0.14110121703241627]","[3.9596051384535254, -0.6084277335854676, 0.7125636235606866]","[2.0553150669313047, -0.5928533195715445, -1.0750886642905024]","[1.604353637789439, -1.532985275019517, -2.074387453995637]","[1.0495497069429582, -2.818187277463016, -1.9327143015836195]","[0.42303289629527985, -3.304433072692222, -2.9103418957552534]","[1.2741150279703535, -3.6846022289871785, -0.7350978387882923]","[-0.04417691005370591, -4.18925645476621, -0.17830673768001837]","[2.9923549744187645, 0.34852292520842554, -1.8320673468767608]","[4.143558205050922, 0.0035960697637173926, -2.0537187641372525]","[2.4906830243733213, 1.6059936410435383, -2.4821113747907506]","[3.0889800252601747, 2.7516836518386656, -1.8865218764472493]","[4.358872952811105, 3.2091275052861006, -2.245614166476037]","[5.010299978425233, 2.6525495859368684, -3.17019627065445]","[4.931167382344863, 4.396067917811431, -1.5559790002761826]","[4.469984845368908, 5.663030717505295, -2.2474290408865247]","[0.8371982237214974, 0.1159808938078739, -0.4228744159529138]","[1.2580911035875588, 1.417681446446508, 0.28618854370948354]","[-0.3449892537328506, 0.38228417059304826, -1.3679464677297293]","[-1.6124954446458886, 0.8217295762958636, -0.6019853603454504]","[-1.4832425599651242, 2.154227039173942, -0.2046983593923975]","[-1.9894181908948092, -0.13645161202676806, 0.5769827743935173]","[-2.5303075253675473, -1.673414812212433, -0.20915259319970467]","[-0.7484589021076704, -0.4371934872046271, 1.4777878119200232]","[-1.0843216209211803, -1.487492382099403, 2.5461211846982206]","[-2.230429156719711, -1.0220317109217656, 3.440110811191876]","[-3.400405740288756, -0.5998343845165364, 2.605706965018946]","[-4.6155661161902675, -1.0545227447928947, 2.9209134207060563]","[-5.785613779716229, -0.6634037384661645, 2.1310567393707767]","[-6.931699839786135, -1.0685169371654881, 2.4543082265150273]","[-5.608591406873207, 0.18057585381690605, 0.947595068090405]","[-4.401678221573865, 0.6539418477026531, 0.6337883657194098]","[-3.1620523255435753, 0.39919606154376913, 1.4745430344146118]","[-2.8049103649491567, 1.7236216910839794, 2.1460326615811782]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00396,"[1.3690856793876176, -1.0398996151449824, 0.2676507166039861]","[2.1912208461685667, -1.8369871370501452, 1.2591187758803153]","[3.6163506098009863, -1.7341366855415914, 0.7133726809139687]","[3.577721939124272, -0.6882827684059868, -0.4120157376567592]","[4.814674117760497, 0.17320389317000526, -0.5122417216839603]","[5.88816890496131, 0.13430284457710048, 0.5271989806991706]","[4.950074747648459, 0.9141014643118365, -1.4721675200895297]","[2.272554599132382, 0.07494600188364971, -0.20759947629677586]","[2.428313697521985, 1.1773392752803857, 0.8546511622091034]","[1.6709394901639574, 0.646519713616328, -1.4892338347685758]","[0.2574701079777746, 1.1881536522296139, -1.2131709242354767]","[-0.659908365172154, 0.12886871882727036, -0.5556609916947473]","[-0.010445513013465451, -0.5371256015100297, 0.6818657004604484]","[-0.884207538812745, -1.70237573443064, 1.1343316476986929]","[-2.253007046762595, -1.1942511910850788, 1.5657922242396811]","[-2.8908105214076683, -0.4049462451460648, 0.46379523602346157]","[-4.2032429268628135, -0.5586736306699824, 0.2609019538855137]","[-4.926096189070564, 0.2502847455544539, -0.7288267301426797]","[-6.1510072782964595, 0.04655993176954399, -0.9298299496482141]","[-4.227572768171628, 1.357667466302376, -1.4502474645801802]","[-2.7428413894336487, 1.0314059044100596, -1.6038328612990993]","[-2.081168539951598, 0.6651655894272538, -0.26166376827829274]","[-2.0062666626918086, 1.9081594076245918, 0.623331904933101]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00397,"[-2.0500821547672925, -0.3206822874003701, 0.5379388978316557]","[-3.512681488526483, -0.015430925987956695, 0.27154266365319457]","[-1.7461433021121373, 0.012148537981333505, 1.9199480464570458]","[-1.1546925815103248, 0.48149284470595405, -0.40878554692246755]","[-1.4810464131189411, 0.20718540982203837, -1.7398659295932724]","[0.2969314638097817, 0.19262007805217027, -0.1772033654634871]","[0.8299129055305766, -1.0803342440344088, -0.4305595174773953]","[2.186509854282939, -1.3308718869630527, -0.20402470385738963]","[3.01465301506963, -0.3121422024259678, 0.2762933599703369]","[2.4866545504789115, 0.9572201323054463, 0.530274788896218]","[1.1299841508634798, 1.2087945439448717, 0.30401109020024997]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00398,"[9.179738425523432, -3.0115195295227855, 0.6216383306352671]","[8.669204907135407, -1.8160671357271754, -0.027801484535540488]","[7.276204922434978, -1.4967356628351973, -0.04069488525608058]","[6.446766406804762, -2.2623359392579974, 0.5231931035542488]","[6.813838475968796, -0.2728867740076107, -0.713188197319024]","[7.712406145980071, 0.5505616258139024, -1.3202021101926333]","[7.324755880470507, 1.6891950382521368, -1.9539072971410842]","[5.975115174071302, 2.0437251243049954, -1.9938472345639195]","[5.025024282138473, 1.22663537088, -1.3768755588002124]","[3.6739249977760338, 1.604343026985688, -1.4489574790008863]","[2.596349270769983, 1.0442239069744361, -0.7427814661352291]","[1.2990416671497294, 1.4119173012363144, -1.1143204415924328]","[0.19248798487464922, 0.8950713746099989, -0.4349185656958204]","[0.368642318841222, 0.002766076892963673, 0.6324389750706272]","[-0.7414099697822564, -0.5493751942597715, 1.3536565450899225]","[-2.1322855854528413, -0.29851904405761986, 1.1156202671246533]","[-2.4966675781655785, 0.4775509719282345, 0.19162289484375933]","[-3.1005163815475507, -0.948065539044479, 1.9492410954386863]","[-4.527111607556922, -0.8246890800809495, 1.867509499378218]","[-5.148458801758496, -0.01074571119844479, 0.9105682363268732]","[-6.546168262070428, 0.09695083643256329, 0.8465018204567436]","[-7.329373767405463, -0.6325025197004253, 1.7677950192023024]","[-9.086178594697547, -0.5616100260633881, 1.7654648038115888]","[-6.708095034381115, -1.4437907656281321, 2.721488621893199]","[-5.316419659493106, -1.5391242119783075, 2.7708729462580775]","[-7.1758357245361655, 0.9836104899644003, -0.19806883905447856]","[-7.926957832169883, 1.9685389550147638, 0.41723972620410194]","[-7.995106303319569, 0.22915878001674786, -1.0181167330399181]","[-6.210351505662194, 1.5930859182420287, -0.9824558170187045]","[1.6643559539436057, -0.36082489135611734, 1.0106840252714497]","[2.770329586354627, 0.15653135282389255, 0.33102241846416797]","[5.452750207762271, 0.054925874345876216, -0.7366373441680558]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00399,"[-0.3461487240831673, 0.15830963425442904, 1.7199137332270946]","[-0.6301538218966699, -0.2036662561030498, 0.4020476841924891]","[0.5071249608675329, -1.0598883950437612, -0.1647617778452036]","[1.8045607332806959, -0.40072724894134504, -0.0847993033890049]","[2.495662246373694, 0.10413912036606811, -1.1178754870146659]","[3.681957535248875, 0.5961455299275215, -0.6086391522802075]","[3.713596529854209, 0.38199547144633644, 0.7242284174633908]","[2.553309656827242, -0.23531856387323316, 1.0169878791735314]","[-2.1503296895345008, -1.206451990469903, 0.3882174349604299]","[-1.8937942633275158, -2.6231965829900714, 1.2757683313888422]","[-2.557732885235372, -1.6149134345285858, -1.2019105146218885]","[-3.2880557537053825, -0.4318346541956707, 1.01353519939489]","[-0.8786706649503695, 1.3046873410307451, -0.6006674898534846]","[-1.0447097462454646, 0.8870142332222111, -2.2312757147522944]","[-2.27293363299492, 2.113970696713486, -0.0887676347874374]","[0.3063175195208443, 2.2297350991847082, -0.4420016052564217]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00400,"[3.575615560920784, 3.268148284965166, 0.06390606234434922]","[2.3154923838624044, 2.6171189254957157, -0.015664269436625293]","[2.1855209003769756, 1.2254452385114534, 0.0026309345633766237]","[3.300409772663885, 0.3686822263935212, 0.10109979184165405]","[3.13817898617323, -1.0379286909881582, 0.12268308149281965]","[4.243061529028357, -1.8905387751089333, 0.22038794148290689]","[5.578465284436952, -1.411783854679473, 0.3022162944468994]","[1.842620551165269, -1.5904187565871524, 0.04616220005131619]","[1.5897604466967055, -3.328019751010377, 0.07658876255689008]","[0.7552405121712782, -0.7223111321797036, -0.052270246991658116]","[0.9248015765686988, 0.6346146995824016, -0.07703380061227992]","[-0.39969853138850236, 1.215307896773138, -0.16377556615370242]","[-0.6574351005821911, 2.4487555627883264, -0.14320549692596224]","[-1.414745744482556, 0.0952847495371519, -0.2415932162820335]","[-0.5888172523437083, -1.072134391343156, -0.1258836555102757]","[-2.0956931465373474, 0.08232611326321482, -1.6356296700727593]","[-2.7222552121566, 1.4212789359838418, -2.015533943127155]","[-3.152087408809824, -1.0181750639985285, -1.7189342612445675]","[-4.110872377966757, -0.9139249240891275, -0.5736836769055232]","[-5.287723789352018, -1.3390022007372053, -0.702398258489277]","[-3.6691829039138892, -0.3644023325414961, 0.715736167881882]","[-2.4325493765391304, 0.10988265435643046, 0.9056884069952744]","[-2.120136209559102, 0.5370501689039221, 2.203656973287884]","[-0.7979704504325966, 0.6647444167084661, 2.704849444805624]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00402,"[5.218203318931765, 2.651750185245355, -1.3945384571927621]","[5.07864377454996, 1.2189903485673228, -1.6290425178008836]","[4.356396280080528, 0.9797592569545113, -2.8866016487072264]","[2.8953809623651083, 1.434213943567929, -2.8215362942126863]","[2.261340609462837, 0.8701554670502732, -1.6372942789173597]","[2.9382794653279576, 1.027363889398733, -0.3578140118326722]","[4.397806769394418, 0.5837325590351371, -0.4918485928101592]","[0.9064318645358798, 0.4095852370099777, -1.6823937429338034]","[0.28395350046517026, 0.38389047413449967, -2.780117064001834]","[0.27807326618133643, -0.011515127316392156, -0.5067631511033291]","[-1.0547734794722998, -0.5102774684055724, -0.49014421965799454]","[-1.5704680012784105, -0.49165231920061503, 0.8906739586312016]","[-1.8289266781082083, -1.8373651181409165, 1.3020412858463815]","[-2.2778782294066096, -2.1761759068677953, 2.429050812296637]","[-1.5036356021774866, -2.7276277716782276, 0.2244895204441187]","[-1.597717247146005, -4.077277298612662, 0.15288257495708418]","[-1.2302129511524111, -4.6933082588455335, -1.0091987238932536]","[-0.7686962863778335, -3.9241148886592567, -2.0998826418447294]","[-0.6898540879295014, -2.5643425848077404, -1.99161932854301]","[-1.0578469050697277, -1.974837291345122, -0.8265464361143021]","[-1.8234201183503773, 0.6946357206185202, 1.661286156268452]","[-2.294948045483428, 0.599500813275458, 2.936781027889746]","[-2.543881586262782, 1.7003115317229, 3.6958939193522777]","[-2.317008121379097, 2.9743667828427784, 3.17374063086261]","[-2.6340279788591068, 4.396393208607957, 4.143282637896916]","[-1.835051506755947, 3.1028243197403684, 1.8712907367391225]","[-1.586162986085691, 1.9610202961103975, 1.1088341632396075]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00404,"[-3.808807194050448, 0.35335158209720774, 1.7731461488452824]","[-3.2044843983590985, -0.7114964962899029, 0.9230719502468243]","[-3.6583057239341232, -1.9798288287285237, 0.8929324146255107]","[-2.882807567756993, -2.6489953012466234, 0.0505305452485646]","[-1.97010583695551, -1.7741110052584266, -0.41033622912006235]","[-0.9145012761145661, -2.0989396625447077, -1.4024253720805833]","[0.3889264067023093, -1.8283650077481324, -0.8142123228402874]","[0.8218225981704039, -0.6628460460854627, -0.416818112777247]","[2.1874629465308706, -0.5979976366927546, 0.16634036815294512]","[3.1005450113334203, -1.6420289400238648, -0.057598661009631874]","[4.379586336529502, -1.6023910621308313, 0.5047793222148432]","[4.758188807151734, -0.5208908877832874, 1.3034678221264722]","[3.857061319615465, 0.5191487499520473, 1.5423020541489485]","[2.578300137862509, 0.4786551320202795, 0.9797982159213995]","[-0.006778914178632064, 0.5808564103927718, -0.5402342430515656]","[-1.3905901161148764, 0.6336230323423095, -0.21434648527509104]","[-2.0658738852112086, 1.8622919896273207, -0.2799557060610611]","[-1.4031191100121214, 3.0251293040983485, -0.6699835685434169]","[-0.053294810057231086, 2.9739908021533994, -1.0081582692006004]","[0.7818904128760887, 4.429724905622708, -1.5032602212515551]","[0.6364563082279318, 1.7641506744697866, -0.9394544191563061]","[-2.1315714522564884, -0.5530317082449909, 0.12041476883688419]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00409,"[4.5403125408145115, -2.828882431410709, 0.9906252904405356]","[4.69763933905336, -1.329069672837586, 1.1524634351435266]","[4.224043562750736, -0.6503460085024801, -0.04349631233200986]","[5.016025434952536, 0.564049674764937, -0.17855243550941624]","[4.083317170947249, 1.6684422203132947, -0.6042877099223031]","[2.760068497035328, 1.276114146596874, -0.009533688896427434]","[2.8487233648664065, -0.224243978287616, 0.2093741993906895]","[1.908364571591962, -0.9622694730182335, -0.7336654858281881]","[0.532472119383545, -0.8474447050794311, -0.2720274668974952]","[-0.34398856463866645, 0.19928721584806672, -0.7008325237905253]","[0.04919505197373098, 1.0229556440194787, -1.5715759708944488]","[-1.708128582463612, 0.3216175655772484, -0.12431870331997491]","[-2.2924635010413383, 1.5996170882663443, 0.0346897134273099]","[-1.5798966150798277, 2.7483003970065005, -0.33463333946003376]","[-2.103568881232497, 4.06255831443284, -0.19643695773280814]","[-3.5773843487766994, 1.7120748405039854, 0.5790946227021269]","[-4.288232539622972, 0.5802509371953924, 0.9586406111252432]","[-3.7293046825447647, -0.6877779197385756, 0.8180288491674722]","[-4.864596130452614, -2.1677415711960397, 1.2550369781282935]","[-2.4244526548161995, -0.8315869257317543, 0.2865122971114689]","[-1.833077762491307, -2.0909882474274455, 0.11237239678735102]","[-1.9150673902093576, -3.1349171112952217, 1.0712394495052266]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00410,"[-10.214018370172429, 2.4158441349731077, 2.708732688086682]","[-9.926692093869493, 0.9647892560160547, 2.3707600127478194]","[-9.573873756413413, 0.2675219646395756, 3.5295391647649716]","[-8.837782337162455, 0.8500671842035626, 1.303020855750945]","[-8.796164645680875, -0.5649918383708294, 0.7570202023173331]","[-7.463476434889973, 1.2537177773061114, 1.8275649932483653]","[-7.260749278195583, 2.6240903172603542, 1.5830813290229941]","[-6.6049351863054175, 1.728863249380761, 0.7193551813678671]","[-5.14679843290089, 1.6397031213357758, 1.120656745154157]","[-4.381034107267352, 0.7918603686233561, 0.12074380213016514]","[-2.985360475323108, 1.3837795712902443, -0.05269923986048799]","[-2.239205133033819, 0.6415141517876495, -0.9928402614787436]","[-1.9775782747067965, -0.6522307982762366, -0.472382025252301]","[-1.059322071652693, -0.6383421263542189, 0.7571636725266071]","[0.25445168404116547, 0.002106117376688409, 0.4491958684903929]","[0.5815031489579084, 1.2830888437171613, 1.1404299100049378]","[1.090459443150193, -0.5994894562358966, -0.40622094365478767]","[2.415732722246014, -0.11369073241392008, -0.8265794769732675]","[3.0702075638038138, -0.798608253464053, -1.6568727358313544]","[2.9374806844571513, 1.0877369329470334, -0.33703151258723885]","[4.224887228240126, 1.5682516373329285, -0.7037127686415842]","[5.270152513007631, 1.1263597422023541, 0.31293553810553065]","[5.629941718576466, -0.3443685971276627, 0.146564208229902]","[6.43817219645062, -0.5718035192989942, -1.1246018652544563]","[7.859842001327196, -0.04352281884489425, -0.9765848334630504]","[8.709734234848314, -0.9833147880735288, -0.1323153024661161]","[9.090109459964268, -2.2351382008718748, -0.915636039949761]","[10.128989809183789, -1.9252039124493467, -1.985903556814013]","[11.480836577395312, -1.7611865200048915, -1.3794934821689262]","[11.907712838659453, -0.5063052189143064, -0.9610436623524399]","[12.227598551984807, -2.76266174032197, -1.2271627104783265]","[-3.2669728898109995, -1.4465494544635966, -0.23023419481928722]","[-3.850915325024563, -1.7669468379024964, -1.4585841882193944]","[-4.243412636961301, -0.6423511318287308, 0.6357271995144026]","[-5.489520926442031, -1.27258842523098, 0.6725300651452314]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
